"Status","Year","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","25","25","54450","53830"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","AA/AO","30","25","23270","23520"
"In post","2021","Attorney General's Departments","Berkshire","EO","25","25","28240","27440"
"In post","2021","Attorney General's Departments","Berkshire","G6/G7","60","55","59990","62120"
"In post","2021","Attorney General's Departments","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","SEO/HEO","20","20","37290","38000"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","AA/AO","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","AA/AO","110","100","21760","21950"
"In post","2021","Attorney General's Departments","Birmingham","EO","95","85","27130","28430"
"In post","2021","Attorney General's Departments","Birmingham","G6/G7","205","190","55630","55610"
"In post","2021","Attorney General's Departments","Birmingham","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","SEO/HEO","75","70","35040","34480"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","AA/AO","20","20","22910","23520"
"In post","2021","Attorney General's Departments","Brighton and Hove","EO","25","25","28470","27760"
"In post","2021","Attorney General's Departments","Brighton and Hove","G6/G7","45","45","59980","62120"
"In post","2021","Attorney General's Departments","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","SEO/HEO","15","10","36450","36240"
"In post","2021","Attorney General's Departments","Bristol, City of","AA/AO","25","25","21760","21950"
"In post","2021","Attorney General's Departments","Bristol, City of","EO","35","35","26760","26220"
"In post","2021","Attorney General's Departments","Bristol, City of","G6/G7","70","65","55790","55610"
"In post","2021","Attorney General's Departments","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","SEO/HEO","20","20","35900","36240"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","AA/AO","50","45","21840","21950"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","EO","30","30","27620","28430"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","G6/G7","100","95","55040","55610"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","SEO/HEO","30","30","35750","36130"
"In post","2021","Attorney General's Departments","Central Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","10","10","22550","21950"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","10","10","53790","54480"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","AA/AO","20","20","23620","23520"
"In post","2021","Attorney General's Departments","Croydon","EO","20","15","28390","27470"
"In post","2021","Attorney General's Departments","Croydon","G6/G7","25","25","62040","62140"
"In post","2021","Attorney General's Departments","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","SEO/HEO","25","25","35060","35000"
"In post","2021","Attorney General's Departments","Derby","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","AA/AO","15","15","20930","21950"
"In post","2021","Attorney General's Departments","Devon CC","EO","20","20","26970","26780"
"In post","2021","Attorney General's Departments","Devon CC","G6/G7","45","40","55390","55610"
"In post","2021","Attorney General's Departments","Devon CC","SEO/HEO","20","20","34960","34050"
"In post","2021","Attorney General's Departments","East Cumbria","AA/AO","15","10","21950","21950"
"In post","2021","Attorney General's Departments","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Cumbria","G6/G7","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","AA/AO","30","30","23210","23520"
"In post","2021","Attorney General's Departments","East Kent","EO","35","30","29290","29170"
"In post","2021","Attorney General's Departments","East Kent","G6/G7","45","40","57510","55000"
"In post","2021","Attorney General's Departments","East Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","SEO/HEO","15","10","38260","39750"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","AA/AO","10","10","22240","21950"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","EO","15","15","27170","27440"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","G6/G7","30","30","54430","55610"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","SEO/HEO","15","15","35890","36130"
"In post","2021","Attorney General's Departments","Haringey and Islington","AA/AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Haringey and Islington","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Haringey and Islington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","AA/AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","AA/AO","40","35","22800","23520"
"In post","2021","Attorney General's Departments","Heart of Essex","EO","50","45","28920","30110"
"In post","2021","Attorney General's Departments","Heart of Essex","G6/G7","70","65","59610","60710"
"In post","2021","Attorney General's Departments","Heart of Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","SEO/HEO","30","25","37790","39750"
"In post","2021","Attorney General's Departments","Hertfordshire","AA/AO","35","30","23150","23520"
"In post","2021","Attorney General's Departments","Hertfordshire","EO","35","30","28870","29400"
"In post","2021","Attorney General's Departments","Hertfordshire","G6/G7","75","70","59050","61510"
"In post","2021","Attorney General's Departments","Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hertfordshire","SEO/HEO","25","20","37850","40000"
