"Status","Year","Age","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Property","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","Outside London","10","10","20430","20730"
"In post","2021","16-19","Property","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","Outside London","10","10","17300","16780"
"In post","2021","16-19","Science and Engineering","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South West (England)","Outside London","85","85","17640","17780"
"In post","2021","16-19","Science and Engineering","Wales","Outside London","15","15","16570","16780"
"In post","2021","16-19","Science and Engineering","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","Outside London","10","10","22330","22700"
"In post","2021","16-19","Security","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","Outside London","10","10","21220","20140"
"In post","2021","16-19","Tax","North East (England)","Outside London","35","35","20290","20140"
"In post","2021","16-19","Tax","North West (England)","Outside London","40","35","20420","20140"
"In post","2021","16-19","Tax","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Scotland","Outside London","20","20","20140","20140"
"In post","2021","16-19","Tax","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Wales","Outside London","15","15","20520","20140"
"In post","2021","16-19","Tax","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Tax","Yorkshire and The Humber","Outside London","20","20","20140","20140"
"In post","2021","16-19","Unknown","East Midlands (England)","Outside London","15","15","22740","21010"
"In post","2021","16-19","Unknown","East of England","Outside London","10","10","25140","24180"
"In post","2021","16-19","Unknown","London","London","25","25","26850","26410"
"In post","2021","16-19","Unknown","North East (England)","Outside London","45","45","21390","21010"
"In post","2021","16-19","Unknown","North West (England)","Outside London","35","35","20960","21010"
"In post","2021","16-19","Unknown","Scotland","Outside London","90","90","21080","21150"
"In post","2021","16-19","Unknown","South East (England)","Outside London","15","15","24580","24180"
"In post","2021","16-19","Unknown","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Wales","Outside London","20","20","22690","21010"
"In post","2021","16-19","Unknown","West Midlands (England)","Outside London","15","15","23080","21010"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","Outside London","40","40","21900","21010"
"In post","2021","20-29","Commercial","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","Outside London","25","25","27870","27770"
"In post","2021","20-29","Commercial","London","London","140","140","37910","35500"
"In post","2021","20-29","Commercial","North East (England)","Outside London","10","10","32150","31060"
"In post","2021","20-29","Commercial","North West (England)","Outside London","75","75","31250","29550"
"In post","2021","20-29","Commercial","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","Outside London","45","45","27490","26550"
