"Status","Year","Ethnicity","Parent_department","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire","20","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Essex","Heart of Essex","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Greater Manchester","Manchester","25","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Inner London - West","Westminster","560","525","44860","50500"
"In post","2021","Asian","Attorney General's Departments","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Lancashire","Mid Lancashire","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Leicester","40","35","36100","30870"
"In post","2021","Asian","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North Yorkshire","York","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Northumberland and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outer London - East and North East","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outer London - East and North East","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outer London - South","Croydon","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outer London - South","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outer London - West and North West","Harrow and Hillingdon","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outer London - West and North West","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Shropshire and Staffordshire","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Shropshire and Staffordshire","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Shropshire and Staffordshire","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Midlands","Birmingham","95","90","36140","28430"
"In post","2021","Asian","Attorney General's Departments","West Midlands","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Wales and The Valleys","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Wales and The Valleys","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Yorkshire","Leeds","35","30","43370","48080"
"In post","2021","Asian","Attorney General's Departments","West Yorkshire","Wakefield","[c]","[c]","[c]","[c]"
