"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","G6/G7","25","25","60560","56720"
"In post","2021","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","SEO/HEO","45","45","40690","41000"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","SEO/HEO","15","15","38410","42220"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","EO","15","15","26550","26620"
"In post","2021","Analysis","Digital, Data and Technology","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","G6/G7","25","20","54520","52250"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","SEO/HEO","35","35","38470","40870"
"In post","2021","Analysis","Economics","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","London","AA/AO","25","25","24780","25140"
"In post","2021","Analysis","Economics","London","EO","70","70","28000","27680"
"In post","2021","Analysis","Economics","London","G6/G7","435","425","60670","59160"
"In post","2021","Analysis","Economics","London","SCS level","55","50","92340","83430"
"In post","2021","Analysis","Economics","London","SEO/HEO","490","485","35230","34000"
"In post","2021","Analysis","Economics","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North West (England)","G6/G7","10","10","52760","52580"
"In post","2021","Analysis","Economics","North West (England)","SEO/HEO","15","15","32450","31810"
"In post","2021","Analysis","Economics","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","South East (England)","G6/G7","15","15","54750","51970"
"In post","2021","Analysis","Economics","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","South East (England)","SEO/HEO","10","10","30520","29540"
"In post","2021","Analysis","Economics","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Wales","AA/AO","25","25","19130","19130"
"In post","2021","Analysis","Economics","Wales","EO","10","10","23560","23050"
"In post","2021","Analysis","Economics","Wales","G6/G7","30","30","52110","50090"
"In post","2021","Analysis","Economics","Wales","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Wales","SEO/HEO","50","45","32180","29540"
"In post","2021","Analysis","Economics","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","G6/G7","15","15","63720","68660"
"In post","2021","Analysis","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","SEO/HEO","10","10","36580","36800"
"In post","2021","Analysis","Finance","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","SEO/HEO","15","15","42420","40050"
