"Status","Year","Age","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","No function","Outside London","20","15","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","London","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Outside London","20","15","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","London","5","5","[c]","[c]"
"In post","2021","16-19","Black","No function","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","No function","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","No function","Outside London","10","5","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","Outside London","[c]","[c]","[c]","[c]"
