"Status","Year","Disability","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","AO","35","30","23640","21010"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","EO","45","40","28020","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","AA","25","25","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","AO","155","140","21120","21010"
"In post","2021","Declared disabled","Angus and Dundee City","EO","65","55","27480","27570"
"In post","2021","Declared disabled","Angus and Dundee City","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","EO","70","60","30750","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barnet","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barnet","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Barnet","EO","45","45","30860","31060"
"In post","2021","Declared disabled","Barnet","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","AA","20","15","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","AO","165","140","22190","21010"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","EO","140","120","27470","27570"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","HEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","55","50","31160","30880"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","55","45","23160","21130"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","290","265","24380","25730"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","45","45","67330","67160"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","110","110","53040","54270"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","310","300","31510","32380"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","355","340","41170","40830"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","160","155","38990","36530"
"In post","2021","Declared disabled","Bedford","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedford","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedford","EO","35","30","27820","27570"
"In post","2021","Declared disabled","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Belfast","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Belfast","AO","80","70","20900","21430"
"In post","2021","Declared disabled","Belfast","EO","65","60","26290","25560"
"In post","2021","Declared disabled","Belfast","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Belfast","HEO","50","45","31950","31810"
"In post","2021","Declared disabled","Belfast","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","AO","90","85","27880","25110"
"In post","2021","Declared disabled","Berkshire","EO","100","95","30390","29290"
"In post","2021","Declared disabled","Berkshire","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","HEO","45","40","35870","34640"
"In post","2021","Declared disabled","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Unknown","35","30","30450","31980"
"In post","2021","Declared disabled","Bexley and Greenwich","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","AO","55","55","27520","25110"
"In post","2021","Declared disabled","Bexley and Greenwich","EO","70","65","32120","31060"
"In post","2021","Declared disabled","Bexley and Greenwich","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","AA","40","40","19020","19230"
"In post","2021","Declared disabled","Birmingham","AO","355","310","21180","20650"
"In post","2021","Declared disabled","Birmingham","EO","410","370","26750","27570"
"In post","2021","Declared disabled","Birmingham","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","G7","70","65","54500","52580"
"In post","2021","Declared disabled","Birmingham","HEO","205","190","32190","31810"
"In post","2021","Declared disabled","Birmingham","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","SEO","95","90","40730","39100"
"In post","2021","Declared disabled","Birmingham","Unknown","80","75","30500","29200"
"In post","2021","Declared disabled","Blackburn with Darwen","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","EO","40","35","27400","27570"
"In post","2021","Declared disabled","Blackburn with Darwen","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","AO","300","260","20840","21010"
"In post","2021","Declared disabled","Blackpool","EO","275","240","27450","27570"
"In post","2021","Declared disabled","Blackpool","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","G7","35","30","51440","49170"
"In post","2021","Declared disabled","Blackpool","HEO","80","75","32580","31990"
"In post","2021","Declared disabled","Blackpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","SEO","60","55","36910","35870"
"In post","2021","Declared disabled","Blackpool","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","AA","10","5","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","EO","60","55","27000","27570"
"In post","2021","Declared disabled","Bournemouth and Poole","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bradford","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bradford","AO","145","110","20640","21010"
"In post","2021","Declared disabled","Bradford","EO","110","95","26880","27570"
"In post","2021","Declared disabled","Bradford","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bradford","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Bradford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Unknown","30","25","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Brent","EO","35","30","30520","31060"
"In post","2021","Declared disabled","Brent","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Brent","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","AO","35","30","20560","21010"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","EO","45","40","27650","27570"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","AO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","EO","45","45","27320","27570"
"In post","2021","Declared disabled","Brighton and Hove","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","AA","20","15","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","AO","165","150","21490","21010"
"In post","2021","Declared disabled","Bristol, City of","EO","165","145","27100","27570"
"In post","2021","Declared disabled","Bristol, City of","G6","30","30","63510","63110"
"In post","2021","Declared disabled","Bristol, City of","G7","60","60","52630","52580"
"In post","2021","Declared disabled","Bristol, City of","HEO","105","95","32020","31810"
"In post","2021","Declared disabled","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","SEO","90","85","39990","38630"
"In post","2021","Declared disabled","Bristol, City of","Unknown","30","25","29480","30210"
"In post","2021","Declared disabled","Bromley","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bromley","EO","40","35","31160","31060"
"In post","2021","Declared disabled","Bromley","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bromley","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","AA","15","15","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","AO","50","50","26040","23130"
"In post","2021","Declared disabled","Buckinghamshire CC","EO","60","60","28600","27570"
"In post","2021","Declared disabled","Buckinghamshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","AO","40","30","20800","21010"
"In post","2021","Declared disabled","Calderdale and Kirklees","EO","110","95","27370","27570"
"In post","2021","Declared disabled","Calderdale and Kirklees","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","HEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","AA","20","15","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","AO","80","75","26250","25850"
"In post","2021","Declared disabled","Cambridgeshire CC","EO","95","85","28020","27570"
"In post","2021","Declared disabled","Cambridgeshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","HEO","80","75","33580","33300"
"In post","2021","Declared disabled","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","SEO","40","40","44010","42780"
"In post","2021","Declared disabled","Cambridgeshire CC","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","AA","20","20","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","AO","80","75","23920","23500"
"In post","2021","Declared disabled","Camden and City of London","EO","80","75","30020","29570"
"In post","2021","Declared disabled","Camden and City of London","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","HEO","45","40","36290","36160"
"In post","2021","Declared disabled","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","AA","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","AO","315","280","21300","21010"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","EO","305","280","27020","27570"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","G7","85","80","55740","54620"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","HEO","185","170","32960","31990"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","SEO","85","80","42310","39820"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Unknown","45","40","31560","30210"
"In post","2021","Declared disabled","Causeway Coast and Glens","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","G7","[c]","[c]","[c]","[c]"
