"Status","Year","Age","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
