"Status","Year","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Companies House","Property","Outside London","10","5","[c]","[c]"
"In post","2021","Companies House","Security","Outside London","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","London","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","London","35","35","48650","42290"
"In post","2021","Competition and Markets Authority","Corporate Finance","London","15","15","46260","43490"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","London","65","60","57200","55860"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","London","90","85","63040","59890"
"In post","2021","Competition and Markets Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","London","35","35","50820","45980"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","London","30","30","53750","46940"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","London","120","115","70510","72430"
"In post","2021","Competition and Markets Authority","Legal","Outside London","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","London","25","25","66900","63370"
"In post","2021","Competition and Markets Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","London","340","330","61130","56630"
"In post","2021","Competition and Markets Authority","Project Delivery","Outside London","35","35","56560","55860"
"In post","2021","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","London","20","20","47540","40730"
"In post","2021","Crown Commercial Service","Commercial","Outside London","355","340","33360","33270"
"In post","2021","Crown Commercial Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Outside London","15","15","35870","34270"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","London","25","25","50800","49300"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Outside London","90","90","38630","34800"
"In post","2021","Crown Commercial Service","Finance","Outside London","30","30","43110","35860"
"In post","2021","Crown Commercial Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Outside London","30","25","35170","31040"
"In post","2021","Crown Commercial Service","Operational Delivery","London","20","20","52170","49300"
"In post","2021","Crown Commercial Service","Operational Delivery","Outside London","165","165","39800","34800"
"In post","2021","Crown Commercial Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Outside London","25","25","47040","46920"
"In post","2021","Crown Commercial Service","Unknown","Outside London","10","10","40390","35280"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Outside London","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Outside London","50","50","40730","36930"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Outside London","20","20","39520","38610"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Outside London","30","30","33810","31110"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Outside London","20","20","38010","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Outside London","600","565","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Outside London","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Outside London","20","20","47900","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","London","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Outside London","15","15","43670","38360"
"In post","2021","Crown Prosecution Service","Communications","London","30","30","43110","39750"
"In post","2021","Crown Prosecution Service","Communications","Outside London","20","20","38420","39750"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","London","25","25","48020","43800"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Outside London","95","95","37600","38180"
"In post","2021","Crown Prosecution Service","Finance","London","20","20","42510","35020"
"In post","2021","Crown Prosecution Service","Finance","Outside London","75","70","30110","27610"
"In post","2021","Crown Prosecution Service","Human Resources","London","40","40","47350","40530"
"In post","2021","Crown Prosecution Service","Human Resources","Outside London","105","100","38260","33310"
"In post","2021","Crown Prosecution Service","Legal","London","730","695","60150","61860"
"In post","2021","Crown Prosecution Service","Legal","Outside London","2450","2260","53390","55000"
"In post","2021","Crown Prosecution Service","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Operational Delivery","London","785","740","29350","27440"
"In post","2021","Crown Prosecution Service","Operational Delivery","Outside London","2265","2085","26560","25480"
"In post","2021","Crown Prosecution Service","Policy","London","30","30","61520","57490"
"In post","2021","Crown Prosecution Service","Policy","Outside London","10","10","56510","56580"
"In post","2021","Crown Prosecution Service","Security","London","20","20","37480","32080"
"In post","2021","Crown Prosecution Service","Security","Outside London","10","10","39980","38180"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","London","10","10","63480","61850"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Outside London","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","London","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","London","35","35","53150","53360"
"In post","2021","Debt Management Office","Finance","London","10","10","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","London","40","40","57830","46010"
"In post","2021","Debt Management Office","Policy","London","15","15","75650","61540"
"In post","2021","Debt Management Office","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Debt Management Office","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Outside London","25","25","32190","30040"
"In post","2021","Defence Electronics and Components Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data and Technology","Outside London","10","10","30920","31450"
"In post","2021","Defence Electronics and Components Agency","Finance","Outside London","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Medicine","Outside London","15","15","28810","28750"
"In post","2021","Defence Electronics and Components Agency","Operational Delivery","Outside London","60","55","30360","28110"
"In post","2021","Defence Electronics and Components Agency","Other","Outside London","35","30","25920","25950"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Outside London","10","10","27930","28110"
"In post","2021","Defence Electronics and Components Agency","Property","Outside London","15","15","28970","25200"
"In post","2021","Defence Electronics and Components Agency","Science and Engineering","Outside London","240","230","26900","28750"
"In post","2021","Defence Electronics and Components Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Outside London","915","880","39490","35560"
"In post","2021","Defence Equipment and Support","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Outside London","40","35","36510","36030"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Outside London","365","355","40990","40640"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Outside London","455","440","38920","32860"
"In post","2021","Defence Equipment and Support","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Outside London","190","175","38400","33190"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Outside London","175","175","35400","33150"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Other","London","170","165","23580","20760"
"In post","2021","Defence Equipment and Support","Other","Outside London","3285","3140","31810","28380"
"In post","2021","Defence Equipment and Support","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Policy","Outside London","80","75","42680","40730"
"In post","2021","Defence Equipment and Support","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Outside London","2250","2185","40410","39100"
"In post","2021","Defence Equipment and Support","Project Delivery","Overseas","10","10","49140","42190"
"In post","2021","Defence Equipment and Support","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Outside London","110","105","35850","33500"
"In post","2021","Defence Equipment and Support","Science and Engineering","London","15","15","44140","39650"
"In post","2021","Defence Equipment and Support","Science and Engineering","Outside London","2535","2480","36940","36080"
"In post","2021","Defence Equipment and Support","Science and Engineering","Overseas","20","20","40760","42080"
"In post","2021","Defence Equipment and Support","Security","Outside London","55","55","36820","36090"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Outside London","75","70","33740","35520"
"In post","2021","Defence Science and Technology Laboratory","Communications","Outside London","25","25","35780","32500"
"In post","2021","Defence Science and Technology Laboratory","Corporate Finance","Outside London","55","55","39680","37760"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Outside London","120","120","45900","46080"
"In post","2021","Defence Science and Technology Laboratory","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Outside London","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Outside London","80","70","33990","28650"
"In post","2021","Defence Science and Technology Laboratory","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Knowledge and Information Management","Outside London","40","40","42440","38680"
"In post","2021","Defence Science and Technology Laboratory","Legal","Outside London","10","10","62670","72050"
"In post","2021","Defence Science and Technology Laboratory","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Operational Delivery","Outside London","385","365","38980","37320"
"In post","2021","Defence Science and Technology Laboratory","Operational Research","Outside London","490","470","42750","46080"
"In post","2021","Defence Science and Technology Laboratory","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Outside London","450","430","40740","37360"
"In post","2021","Defence Science and Technology Laboratory","Property","Outside London","40","40","45370","46080"
"In post","2021","Defence Science and Technology Laboratory","Psychology","Outside London","20","20","50080","46720"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Outside London","2500","2425","39950","37360"
"In post","2021","Defence Science and Technology Laboratory","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Outside London","60","55","36220","37320"
"In post","2021","Defence Science and Technology Laboratory","Statistics","Outside London","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","London","15","15","49260","48480"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","London","130","125","48060","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","London","100","100","46990","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Outside London","20","20","38130","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","300","295","46610","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","London","170","165","52940","54880"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","London","115","115","50530","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Outside London","25","25","40310","37230"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","London","15","15","47370","44690"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","425","420","47280","44450"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Outside London","100","95","35590","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","London","20","20","51220","57620"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","3490","3415","49870","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Outside London","245","235","45750","38490"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Unknown","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","London","45","45","51980","50320"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Outside London","20","20","48110","49100"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","London","10","10","44820","42940"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","London","20","20","46380","42090"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Outside London","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","London","35","35","48680","49710"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","London","20","20","49290","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","London","45","40","55210","52120"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","London","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","London","20","20","54730","56860"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","London","75","75","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","London","65","65","56670","55260"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","London","60","55","49050","37670"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","London","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","London","20","20","41850","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","London","90","85","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","London","1065","1045","48640","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Outside London","15","15","38490","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","London","175","170","50480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Outside London","35","35","40240","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","London","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","London","25","25","56490","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","London","20","20","49200","43280"
"In post","2021","Department for Education (excl. agencies)","Commercial","London","10","10","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Commercial","Outside London","180","175","39540","38000"
"In post","2021","Department for Education (excl. agencies)","Communications","London","130","130","42420","37760"
"In post","2021","Department for Education (excl. agencies)","Communications","Outside London","105","100","32110","29360"
"In post","2021","Department for Education (excl. agencies)","Digital, Data and Technology","London","125","120","45740","44540"
"In post","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Outside London","455","440","39300","36780"
"In post","2021","Department for Education (excl. agencies)","Finance","London","130","125","50460","53760"
"In post","2021","Department for Education (excl. agencies)","Finance","Outside London","335","330","40350","36980"
"In post","2021","Department for Education (excl. agencies)","Human Resources","London","15","15","45750","40940"
