"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","10","10","27880","27850"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","15","15","35530","36000"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","20","15","42840","43000"
"In post","2021","Analysis","Bedford","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Birmingham","HEO","15","15","38020","34530"
"In post","2021","Analysis","Birmingham","SEO","10","10","45980","39660"
"In post","2021","Analysis","Bradford","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","EO","25","25","26090","25880"
"In post","2021","Analysis","Bristol, City of","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","G7","25","25","56350","59810"
"In post","2021","Analysis","Bristol, City of","HEO","55","50","32120","32010"
"In post","2021","Analysis","Bristol, City of","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SEO","45","40","40600","39850"
"In post","2021","Analysis","Buckinghamshire CC","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","EO","15","15","29940","28270"
"In post","2021","Analysis","Camden and City of London","G6","100","90","92250","89720"
"In post","2021","Analysis","Camden and City of London","G7","30","30","61460","59160"
"In post","2021","Analysis","Camden and City of London","HEO","40","40","36940","36160"
"In post","2021","Analysis","Camden and City of London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","SEO","30","30","47130","47650"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","G7","160","150","49130","46130"
"In post","2021","Analysis","Central Hampshire","HEO","70","70","28810","28650"
"In post","2021","Analysis","Central Hampshire","SEO","105","105","37470","37320"
"In post","2021","Analysis","Central Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","G6","5","5","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","G7","5","5","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","HEO","10","10","35720","36780"
"In post","2021","Analysis","City of Edinburgh","SEO","15","15","42060","42890"
"In post","2021","Analysis","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Coventry","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Croydon","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Croydon","HEO","10","10","35730","36160"
"In post","2021","Analysis","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","SEO","10","10","42180","41760"
"In post","2021","Analysis","Darlington","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","G7","10","10","50330","50630"
"In post","2021","Analysis","Darlington","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Darlington","SEO","10","10","41880","42220"
"In post","2021","Analysis","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","AO","10","10","21050","21050"
"In post","2021","Analysis","Dorset CC","EO","30","25","25050","24920"
"In post","2021","Analysis","Dorset CC","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Dorset CC","G7","15","10","48590","48080"
"In post","2021","Analysis","Dorset CC","HEO","35","35","29680","29270"
"In post","2021","Analysis","Dorset CC","SEO","20","15","37570","36580"
"In post","2021","Analysis","Durham CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Glasgow City","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Leeds","EO","20","20","22820","22540"
"In post","2021","Analysis","Leeds","G6","10","10","62930","62400"
"In post","2021","Analysis","Leeds","G7","55","50","51520","50620"
"In post","2021","Analysis","Leeds","HEO","25","25","30050","28970"
"In post","2021","Analysis","Leeds","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","SEO","20","20","38060","36820"
"In post","2021","Analysis","Leicester","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","G7","25","25","47520","52580"
"In post","2021","Analysis","Liverpool","HEO","20","15","31860","31810"
"In post","2021","Analysis","Liverpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","SEO","20","20","37690","38630"
"In post","2021","Analysis","Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","EO","20","20","25980","25560"
"In post","2021","Analysis","Manchester","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Manchester","G7","45","40","51510","52580"
"In post","2021","Analysis","Manchester","HEO","80","80","32000","31810"
"In post","2021","Analysis","Manchester","SEO","70","65","38640","38630"
"In post","2021","Analysis","Medway","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","AO","50","50","19210","19130"
"In post","2021","Analysis","Monmouthshire and Newport","EO","140","125","24100","23050"
"In post","2021","Analysis","Monmouthshire and Newport","G6","35","35","60980","58880"
"In post","2021","Analysis","Monmouthshire and Newport","G7","175","170","50550","49120"
"In post","2021","Analysis","Monmouthshire and Newport","HEO","315","305","30080","29540"
"In post","2021","Analysis","Monmouthshire and Newport","SCS level","20","20","82180","72320"
"In post","2021","Analysis","Monmouthshire and Newport","SEO","300","290","37190","37020"
"In post","2021","Analysis","North Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Nottingham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","HEO","10","10","32610","32590"
"In post","2021","Analysis","Nottingham","SEO","15","15","42290","42580"
"In post","2021","Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Plymouth","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Portsmouth","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","G7","10","10","55670","58330"
"In post","2021","Analysis","Sefton","HEO","10","10","32600","33100"
"In post","2021","Analysis","Sefton","SEO","10","10","39790","39390"
