"Status","Year","Function_of_post","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","25","25","41860","35070"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","165","155","69370","65470"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","10","10","38090","33290"
"In post","2021","Analysis","Charity Commission","Sefton","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","130","125","60780","56360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","15","15","49150","55600"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","295","290","43630","37120"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","Bristol, City of","20","15","41410","41990"
"In post","2021","Analysis","Department for Education","Coventry","10","10","41650","40130"
"In post","2021","Analysis","Department for Education","Darlington","30","30","43530","42580"
"In post","2021","Analysis","Department for Education","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Manchester","40","40","37840","41990"
"In post","2021","Analysis","Department for Education","Nottingham","10","10","42290","42500"
"In post","2021","Analysis","Department for Education","Sheffield","120","115","44020","42420"
"In post","2021","Analysis","Department for Education","Westminster","180","170","46760","45540"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Dorset CC","115","110","33040","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","10","10","29950","30040"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire CC","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Suffolk","350","330","34300","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Westminster","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","York","50","50","34510","30230"
"In post","2021","Analysis","Department for International Trade","Berkshire","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Westminster","230","230","42740","38540"
"In post","2021","Analysis","Department for Transport","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Bristol, City of","20","15","33530","31380"
"In post","2021","Analysis","Department for Transport","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Sussex CC","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Greater Manchester North East","[c]","[c]","[c]","[c]"
