"Status","Year","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AA","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AA","Unknown","20","20","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AO","Heterosexual / straight","165","155","26810","27850"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AO","LGBO","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AO","Unknown","50","45","26420","27850"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","EO","Heterosexual / straight","195","185","27580","27570"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","EO","Undeclared","35","30","28420","27570"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","EO","Unknown","40","35","28120","27570"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","HEO","Heterosexual / straight","75","70","34110","33520"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","HEO","Unknown","15","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SEO","Heterosexual / straight","45","45","45160","45620"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SEO","Unknown","10","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Unknown","Heterosexual / straight","50","45","28620","26500"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","Heterosexual / straight","35","35","19380","19560"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","Undeclared","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","Unknown","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","Heterosexual / straight","75","70","21490","20920"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","Heterosexual / straight","100","100","28050","26930"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","Undeclared","15","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","HEO","Heterosexual / straight","75","70","35010","35070"
