"Status","Year","Region_ITL3","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA/AO","Heterosexual / straight","245","230","25980","22220"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA/AO","Undeclared","90","80","24880","22490"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA/AO","Unknown","195","185","24790","22920"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","Heterosexual / straight","355","335","28770","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","LGBO","30","30","29000","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","Undeclared","55","55","29190","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","Unknown","150","140","30600","29920"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6/G7","Heterosexual / straight","90","85","66900","61120"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","Heterosexual / straight","370","355","47160","38620"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","Undeclared","50","45","50820","39760"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","Unknown","150","140","42140","39500"
"In post","2021","Angus and Dundee City","Outside London","AA/AO","Heterosexual / straight","630","580","21230","21010"
"In post","2021","Angus and Dundee City","Outside London","AA/AO","LGBO","55","55","21050","21010"
"In post","2021","Angus and Dundee City","Outside London","AA/AO","Undeclared","110","95","21200","21010"
"In post","2021","Angus and Dundee City","Outside London","AA/AO","Unknown","310","285","20870","21010"
"In post","2021","Angus and Dundee City","Outside London","EO","Heterosexual / straight","335","310","27400","27570"
"In post","2021","Angus and Dundee City","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","EO","Undeclared","40","35","28090","27570"
"In post","2021","Angus and Dundee City","Outside London","EO","Unknown","100","85","27290","27570"
"In post","2021","Angus and Dundee City","Outside London","G6/G7","Heterosexual / straight","50","50","61750","61010"
"In post","2021","Angus and Dundee City","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SEO/HEO","Heterosexual / straight","180","170","37220","35000"
"In post","2021","Angus and Dundee City","Outside London","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SEO/HEO","Unknown","35","35","36320","35000"
"In post","2021","Antrim and Newtownabbey","Outside London","AA/AO","Heterosexual / straight","130","125","20750","20310"
"In post","2021","Antrim and Newtownabbey","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","AA/AO","Heterosexual / straight","135","130","20890","20310"
"In post","2021","Ards and North Down","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","AA/AO","Heterosexual / straight","75","65","23580","23210"
"In post","2021","Barking & Dagenham and Havering","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","EO","Heterosexual / straight","250","235","30980","31060"
"In post","2021","Barking & Dagenham and Havering","London","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","EO","Undeclared","25","25","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","EO","Unknown","95","85","31070","31060"
"In post","2021","Barking & Dagenham and Havering","London","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","SEO/HEO","Heterosexual / straight","35","30","38760","37350"
"In post","2021","Barking & Dagenham and Havering","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","SEO/HEO","Unknown","15","10","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Unknown","Heterosexual / straight","40","35","33020","34100"
"In post","2021","Barking & Dagenham and Havering","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","London","AA/AO","Heterosexual / straight","195","170","23780","23530"
"In post","2021","Barnet","London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Barnet","London","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2021","Barnet","London","AA/AO","Unknown","45","40","23830","23520"
"In post","2021","Barnet","London","EO","Heterosexual / straight","310","295","29830","31060"
"In post","2021","Barnet","London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Barnet","London","EO","Undeclared","35","30","30000","31060"
"In post","2021","Barnet","London","EO","Unknown","80","70","30970","31060"
"In post","2021","Barnet","London","G6/G7","Heterosexual / straight","185","180","60060","56730"
"In post","2021","Barnet","London","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2021","Barnet","London","G6/G7","Undeclared","25","25","[c]","[c]"
"In post","2021","Barnet","London","G6/G7","Unknown","85","85","60470","57520"
"In post","2021","Barnet","London","SCS level","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Barnet","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Barnet","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Barnet","London","SEO/HEO","Heterosexual / straight","385","375","38370","38930"
"In post","2021","Barnet","London","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Barnet","London","SEO/HEO","Undeclared","55","55","38480","39500"
"In post","2021","Barnet","London","SEO/HEO","Unknown","105","100","41750","41880"
"In post","2021","Barnet","London","Unknown","Heterosexual / straight","40","35","31830","27270"
"In post","2021","Barnet","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","AA/AO","Heterosexual / straight","985","875","23010","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","AA/AO","LGBO","60","60","23760","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","AA/AO","Undeclared","110","100","24260","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","AA/AO","Unknown","350","305","22960","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","EO","Heterosexual / straight","625","550","28210","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","EO","LGBO","35","35","28460","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","EO","Undeclared","75","65","28100","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","EO","Unknown","200","175","28690","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","Heterosexual / straight","235","225","37490","35570"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","LGBO","15","10","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","Undeclared","30","30","39780","38160"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","Unknown","30","30","35950","34290"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Heterosexual / straight","170","150","29480","29200"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","Unknown","LGBO","15","10","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Undeclared","15","15","[c]","[c]"
