"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Operational Research","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","South East (England)","Central Hampshire","240","230","41890","46080"
"In post","2021","Analysis","Operational Research","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","South East (England)","South Hampshire","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Research","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","South West (England)","Bristol, City of","10","10","32680","31620"
"In post","2021","Analysis","Operational Research","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","South West (England)","Wiltshire","15","15","43310","46080"
"In post","2021","Analysis","Operational Research","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Wales","Monmouthshire and Newport","20","20","34380","34030"
"In post","2021","Analysis","Operational Research","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Research","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","West Midlands (England)","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Yorkshire and The Humber","Leeds","15","15","29410","22540"
"In post","2021","Analysis","Other","London","Camden and City of London","170","155","68990","65470"
"In post","2021","Analysis","Other","London","Tower Hamlets","15","15","58550","52000"
"In post","2021","Analysis","Other","London","Westminster","25","25","34460","30720"
"In post","2021","Analysis","Other","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Other","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","South West (England)","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","East Midlands (England)","Nottingham","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","London","Camden and City of London","15","10","78480","61540"
"In post","2021","Analysis","Policy","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","London","Westminster","200","190","48920","46030"
"In post","2021","Analysis","Policy","North East (England)","Darlington","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","North West (England)","Manchester","25","25","38280","41990"
"In post","2021","Analysis","Policy","South West (England)","Bristol, City of","15","10","41630","41990"
"In post","2021","Analysis","Policy","West Midlands (England)","Coventry","5","5","[c]","[c]"
"In post","2021","Analysis","Policy","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Yorkshire and The Humber","Sheffield","70","65","43450","42500"
"In post","2021","Analysis","Project Delivery","London","Tower Hamlets","5","5","[c]","[c]"
"In post","2021","Analysis","Project Delivery","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","East of England","Suffolk","350","330","34260","30220"
"In post","2021","Analysis","Science and Engineering","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","Tower Hamlets","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","Westminster","10","10","62490","54760"
"In post","2021","Analysis","Science and Engineering","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","South East (England)","Central Hampshire","80","75","38050","37320"
"In post","2021","Analysis","Science and Engineering","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","South West (England)","Dorset CC","115","110","33040","29270"
"In post","2021","Analysis","Science and Engineering","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","South West (England)","Wiltshire","70","65","35320","37320"
"In post","2021","Analysis","Science and Engineering","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Yorkshire and The Humber","North Yorkshire CC","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","London","Croydon","10","10","[c]","[c]"
"In post","2021","Analysis","Social Research","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","London","Tower Hamlets","85","80","49690","49430"
"In post","2021","Analysis","Social Research","London","Westminster","240","235","45180","42280"
"In post","2021","Analysis","Social Research","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","North West (England)","Greater Manchester South West","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","North West (England)","Liverpool","15","15","41710","38630"
"In post","2021","Analysis","Social Research","North West (England)","Manchester","15","15","40450","32010"
"In post","2021","Analysis","Social Research","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","South East (England)","South Hampshire","215","200","37370","37020"
"In post","2021","Analysis","Social Research","South East (England)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","South West (England)","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Wales","Monmouthshire and Newport","260","245","38170","37020"
"In post","2021","Analysis","Social Research","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Yorkshire and The Humber","Leeds","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2021","Analysis","Statistics","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","East of England","Southend-on-Sea","25","25","43620","38630"
"In post","2021","Analysis","Statistics","London","Camden and City of London","15","15","42310","36160"
"In post","2021","Analysis","Statistics","London","Croydon","15","15","41300","41760"
"In post","2021","Analysis","Statistics","London","Hackney and Newham","10","10","[c]","[c]"
"In post","2021","Analysis","Statistics","London","Tower Hamlets","160","150","49020","43330"
"In post","2021","Analysis","Statistics","London","Westminster","595","575","46610","42850"
"In post","2021","Analysis","Statistics","North East (England)","Tyneside","15","15","44960","51000"
"In post","2021","Analysis","Statistics","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","North West (England)","Liverpool","25","25","39360","31960"
"In post","2021","Analysis","Statistics","North West (England)","Manchester","80","80","36320","31810"
"In post","2021","Analysis","Statistics","North West (England)","Sefton","15","15","48710","48700"
"In post","2021","Analysis","Statistics","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Scotland","City of Edinburgh","30","30","39430","36780"
"In post","2021","Analysis","Statistics","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South East (England)","Buckinghamshire CC","10","10","35540","33180"
"In post","2021","Analysis","Statistics","South East (England)","Central Hampshire","15","15","37120","33460"
