"Status","Year","Parent_department","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","AO","35","30","23150","23520"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","EO","35","30","28870","29400"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","G7","75","65","58480","61200"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","HEO","20","20","37350","38120"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","30","25","23270","23520"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","25","25","28240","27440"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","55","45","58380","60710"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","20","20","36790","36240"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","G6/G7","G7","10","10","57390","57400"
"In post","2021","Attorney General's Departments","Cheshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","AO","10","10","22550","21950"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","G7","10","10","53790","54480"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","AA/AO","AO","15","10","22150","21950"
"In post","2021","Attorney General's Departments","Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","G6/G7","G7","10","10","55090","55610"
"In post","2021","Attorney General's Departments","Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","AO","75","70","21320","21950"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","EO","60","55","26840","26220"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","G7","100","90","53720","54200"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","HEO","25","25","33050","32050"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","AA/AO","AO","15","15","20930","21950"
"In post","2021","Attorney General's Departments","Devon","EO","EO","20","20","26970","26780"
"In post","2021","Attorney General's Departments","Devon","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","G6/G7","G7","40","40","54720","55610"
"In post","2021","Attorney General's Departments","Devon","SEO/HEO","HEO","15","15","33940","33310"
"In post","2021","Attorney General's Departments","Devon","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","AA/AO","AO","40","35","21440","21950"
"In post","2021","Attorney General's Departments","East Anglia","EO","EO","20","20","27630","28430"
"In post","2021","Attorney General's Departments","East Anglia","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","G6/G7","G7","40","35","55230","55610"
"In post","2021","Attorney General's Departments","East Anglia","SEO/HEO","HEO","15","15","34310","34480"
"In post","2021","Attorney General's Departments","East Anglia","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","AA/AO","AO","60","55","21910","21950"
"In post","2021","Attorney General's Departments","East Wales","EO","EO","45","40","27470","28430"
"In post","2021","Attorney General's Departments","East Wales","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","G6/G7","G7","125","115","53900","55610"
"In post","2021","Attorney General's Departments","East Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","SEO/HEO","HEO","40","35","35120","34480"
"In post","2021","Attorney General's Departments","East Wales","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","AO","20","20","21930","21950"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","EO","15","15","27700","28430"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","G7","30","25","55080","55610"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","AA/AO","AO","40","35","22800","23520"
"In post","2021","Attorney General's Departments","Essex","EO","EO","50","45","28920","30110"
"In post","2021","Attorney General's Departments","Essex","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","G6/G7","G7","65","55","57960","57290"
"In post","2021","Attorney General's Departments","Essex","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","SEO/HEO","HEO","25","25","37520","39540"
"In post","2021","Attorney General's Departments","Essex","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AO","30","30","21880","21950"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","EO","EO","35","35","26850","26220"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","G6","10","10","67630","66410"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","G7","90","80","54190","53850"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","HEO","20","20","34900","34480"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","AA/AO","AO","70","60","21940","21950"
"In post","2021","Attorney General's Departments","Greater Manchester","EO","EO","85","75","27920","28430"
"In post","2021","Attorney General's Departments","Greater Manchester","G6/G7","G6","20","20","69950","69120"
"In post","2021","Attorney General's Departments","Greater Manchester","G6/G7","G7","145","130","54280","55610"
"In post","2021","Attorney General's Departments","Greater Manchester","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","SEO/HEO","HEO","35","35","34420","34480"
"In post","2021","Attorney General's Departments","Greater Manchester","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","AO","55","50","22340","23520"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","EO","EO","55","50","28420","27490"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","G6/G7","G7","105","100","58410","60710"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","SEO/HEO","HEO","25","25","36060","35630"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","AA/AO","AO","15","15","23470","24590"
"In post","2021","Attorney General's Departments","Inner London - East","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","AA/AO","AO","335","310","23180","23520"
"In post","2021","Attorney General's Departments","Inner London - West","EO","EO","715","680","28650","27760"
"In post","2021","Attorney General's Departments","Inner London - West","G6/G7","G6","920","845","68580","66610"
"In post","2021","Attorney General's Departments","Inner London - West","G6/G7","G7","1590","1480","55470","52070"
"In post","2021","Attorney General's Departments","Inner London - West","SCS level","SCS level","255","245","87180","81420"
"In post","2021","Attorney General's Departments","Inner London - West","SEO/HEO","HEO","455","445","36080","33930"
"In post","2021","Attorney General's Departments","Inner London - West","SEO/HEO","SEO","225","220","40710","40000"
"In post","2021","Attorney General's Departments","Inner London - West","Unknown","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","Kent","AA/AO","AO","35","30","23140","23520"
"In post","2021","Attorney General's Departments","Kent","EO","EO","35","35","29230","28370"
"In post","2021","Attorney General's Departments","Kent","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kent","G6/G7","G7","45","40","56880","55000"
"In post","2021","Attorney General's Departments","Kent","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kent","SEO/HEO","HEO","10","10","37230","36240"
"In post","2021","Attorney General's Departments","Kent","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","AA/AO","AO","35","30","22310","21950"
"In post","2021","Attorney General's Departments","Lancashire","EO","EO","40","35","28090","28430"
"In post","2021","Attorney General's Departments","Lancashire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","G6/G7","G7","70","65","53870","55610"
"In post","2021","Attorney General's Departments","Lancashire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","SEO/HEO","HEO","20","20","34070","33310"
"In post","2021","Attorney General's Departments","Lancashire","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","AA/AO","AO","35","35","21450","21950"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","EO","EO","25","25","27560","28430"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","G6/G7","G7","75","65","52630","51470"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","SEO/HEO","HEO","15","15","35960","36240"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","AA/AO","AO","85","80","21840","21950"
"In post","2021","Attorney General's Departments","Merseyside","EO","EO","80","75","27050","26900"
"In post","2021","Attorney General's Departments","Merseyside","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","G6/G7","G7","125","120","53820","54200"
"In post","2021","Attorney General's Departments","Merseyside","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","SEO/HEO","HEO","50","45","33970","33310"
"In post","2021","Attorney General's Departments","Merseyside","SEO/HEO","SEO","15","15","38470","38180"
"In post","2021","Attorney General's Departments","North Eastern Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","AA/AO","AO","30","30","21600","21950"
"In post","2021","Attorney General's Departments","North Yorkshire","EO","EO","40","35","26400","25920"
"In post","2021","Attorney General's Departments","North Yorkshire","G6/G7","G6","15","15","69800","67520"
"In post","2021","Attorney General's Departments","North Yorkshire","G6/G7","G7","180","160","57340","55610"
"In post","2021","Attorney General's Departments","North Yorkshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","SEO/HEO","HEO","25","25","31080","30610"
"In post","2021","Attorney General's Departments","North Yorkshire","SEO/HEO","SEO","30","30","38940","38180"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","AA/AO","AO","70","60","21850","21950"
