"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","275","255","37450","30370"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","155","140","39390","38470"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","10","10","41360","41280"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","175","155","42490","40000"
"In post","2021","Attorney General's Departments","East of England","East Anglia","120","105","36490","28430"
"In post","2021","Attorney General's Departments","East of England","Essex","185","170","41150","35020"
"In post","2021","Attorney General's Departments","London","Inner London - East","25","25","34100","24590"
"In post","2021","Attorney General's Departments","London","Inner London - West","4510","4245","50510","51250"
"In post","2021","Attorney General's Departments","London","Outer London - East and North East","25","25","32870","24590"
"In post","2021","Attorney General's Departments","London","Outer London - South","95","90","38650","31180"
"In post","2021","Attorney General's Departments","London","Outer London - West and North West","25","25","35080","24590"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","245","225","37990","32370"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","95","85","38060","32370"
"In post","2021","Attorney General's Departments","North West (England)","Cheshire","25","25","46530","48830"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","35","30","35170","28430"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","365","335","41260","38000"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","175","165","40040","38000"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","365","345","37570","30930"
"In post","2021","Attorney General's Departments","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","135","125","43310","40000"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","260","245","42870","39750"
"In post","2021","Attorney General's Departments","South East (England)","Kent","125","120","39410","30110"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","165","155","42360","36240"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","25","25","36240","28430"
"In post","2021","Attorney General's Departments","South West (England)","Devon","100","95","39950","36240"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","205","190","43320","48080"
"In post","2021","Attorney General's Departments","Wales","East Wales","285","265","41190","38760"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","70","65","41350","38180"
"In post","2021","Attorney General's Departments","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","65","60","41790","48080"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","490","455","39800","38000"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","75","65","38580","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","320","295","47160","53350"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","140","125","35940","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","450","415","41050","38000"
"In post","2021","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","25","25","48990","39510"
"In post","2021","Cabinet Office","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","Cabinet Office","East of England","East Anglia","110","105","47220","40250"
"In post","2021","Cabinet Office","London","Inner London - East","900","885","52110","54700"
"In post","2021","Cabinet Office","London","Inner London - West","5550","5475","49460","40600"
"In post","2021","Cabinet Office","London","Outer London - South","50","50","43890","32000"
"In post","2021","Cabinet Office","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","405","375","28460","23850"
"In post","2021","Cabinet Office","North East (England)","Tees Valley and Durham","15","15","57390","64010"
"In post","2021","Cabinet Office","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Cumbria","5","5","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","275","270","45320","38650"
"In post","2021","Cabinet Office","North West (England)","Lancashire","45","45","49970","49700"
"In post","2021","Cabinet Office","North West (England)","Merseyside","125","125","49120","49700"
"In post","2021","Cabinet Office","Northern Ireland","Northern Ireland","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","Eastern Scotland","25","25","33040","29250"
"In post","2021","Cabinet Office","Scotland","Southern Scotland","25","25","62500","62010"
"In post","2021","Cabinet Office","Scotland","West Central Scotland","30","30","50970","53320"
"In post","2021","Cabinet Office","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","120","115","35550","33300"
"In post","2021","Cabinet Office","South East (England)","Hampshire and Isle of Wight","90","90","51790","51480"
"In post","2021","Cabinet Office","South East (England)","Kent","5","5","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","Devon","5","5","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","Dorset and Somerset","10","10","35240","33470"
"In post","2021","Cabinet Office","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","170","170","55360","52600"
"In post","2021","Cabinet Office","Unknown","Unknown","600","595","36250","32000"
"In post","2021","Cabinet Office","Wales","East Wales","60","60","38710","30620"
"In post","2021","Cabinet Office","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","Shropshire and Staffordshire","15","15","58080","51560"
"In post","2021","Cabinet Office","West Midlands (England)","West Midlands","35","35","64990","63560"
"In post","2021","Cabinet Office","Yorkshire and The Humber","North Yorkshire","445","425","29430","26670"
"In post","2021","Cabinet Office","Yorkshire and The Humber","South Yorkshire","100","95","46980","49700"
"In post","2021","Cabinet Office","Yorkshire and The Humber","West Yorkshire","190","180","47020","40250"
"In post","2021","Chancellor's other departments","London","Inner London - West","360","345","59470","50060"
"In post","2021","Chancellor's other departments","North East (England)","Tees Valley and Durham","15","15","49950","44950"
"In post","2021","Chancellor's other departments","North West (England)","Lancashire","15","15","46380","42840"
"In post","2021","Chancellor's other departments","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","West Central Scotland","10","10","44870","41310"
"In post","2021","Charity Commission","London","Inner London - West","75","70","42950","37910"
"In post","2021","Charity Commission","North West (England)","Merseyside","305","290","32780","29160"
"In post","2021","Charity Commission","South West (England)","Dorset and Somerset","50","45","35580","30350"
