"Status","Year","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","East of England","Essex","Outside London","55","[c]","29970","27940"
"Leaver Dept.","2021","London","Inner London - East","London","475","[c]","45280","40470"
"Leaver Dept.","2021","London","Inner London - West","London","4475","[c]","44660","39420"
"Leaver Dept.","2021","London","Outer London - East and North East","London","40","[c]","29210","31060"
"Leaver Dept.","2021","London","Outer London - South","London","235","[c]","39080","33960"
"Leaver Dept.","2021","London","Outer London - West and North West","London","105","[c]","32090","30220"
"Leaver Dept.","2021","North East (England)","Northumberland and Tyne and Wear","Outside London","455","[c]","27990","26600"
"Leaver Dept.","2021","North East (England)","Tees Valley and Durham","Outside London","150","[c]","26220","24510"
"Leaver Dept.","2021","North West (England)","Cheshire","Outside London","30","[c]","30620","27570"
"Leaver Dept.","2021","North West (England)","Cumbria","Outside London","45","[c]","24510","20430"
"Leaver Dept.","2021","North West (England)","Greater Manchester","Outside London","455","[c]","29510","27570"
"Leaver Dept.","2021","North West (England)","Lancashire","Outside London","195","[c]","31750","27570"
"Leaver Dept.","2021","North West (England)","Merseyside","Outside London","360","[c]","29090","25040"
"Leaver Dept.","2021","Northern Ireland","Northern Ireland","Outside London","50","[c]","31960","25040"
"Leaver Dept.","2021","Overseas","Overseas","Overseas","120","[c]","50990","52500"
"Leaver Dept.","2021","Scotland","Eastern Scotland","Outside London","205","[c]","31840","27570"
"Leaver Dept.","2021","Scotland","Highlands and Islands","Outside London","15","[c]","30910","29270"
"Leaver Dept.","2021","Scotland","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Southern Scotland","Outside London","85","[c]","41310","39060"
"Leaver Dept.","2021","Scotland","West Central Scotland","Outside London","305","[c]","27540","26550"
"Leaver Dept.","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","75","[c]","37390","33010"
"Leaver Dept.","2021","South East (England)","Hampshire and Isle of Wight","Outside London","180","[c]","33640","29130"
"Leaver Dept.","2021","South East (England)","Kent","Outside London","75","[c]","29320","29290"
"Leaver Dept.","2021","South East (England)","Surrey, East and West Sussex","Outside London","95","[c]","27360","25980"
"Leaver Dept.","2021","South West (England)","Cornwall and Isles of Scilly","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Devon","Outside London","95","[c]","27180","22530"
"Leaver Dept.","2021","South West (England)","Dorset and Somerset","Outside London","40","[c]","34300","27570"
"Leaver Dept.","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","670","[c]","35520","32430"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","705","[c]","35580","32000"
"Leaver Dept.","2021","Wales","East Wales","Outside London","400","[c]","34490","30630"
"Leaver Dept.","2021","Wales","West Wales and The Valleys","Outside London","185","[c]","28640","26130"
"Leaver Dept.","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","55","[c]","32140","27570"
"Leaver Dept.","2021","West Midlands (England)","Shropshire and Staffordshire","Outside London","90","[c]","25970","21170"
"Leaver Dept.","2021","West Midlands (England)","West Midlands","Outside London","400","[c]","28540","24570"
"Leaver Dept.","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","30","[c]","30010","27570"
"Leaver Dept.","2021","Yorkshire and The Humber","North Yorkshire","Outside London","110","[c]","35890","32430"
"Leaver Dept.","2021","Yorkshire and The Humber","South Yorkshire","Outside London","155","[c]","34290","31990"
"Leaver Dept.","2021","Yorkshire and The Humber","West Yorkshire","Outside London","340","[c]","32350","27570"
"New entrant CS","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","1315","[c]","27280","25560"
"New entrant CS","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","880","[c]","24610","22850"
"New entrant CS","2021","East Midlands (England)","Lincolnshire","Outside London","285","[c]","26800","25790"
"New entrant CS","2021","East of England","Bedfordshire and Hertfordshire","Outside London","820","[c]","27060","27570"
"New entrant CS","2021","East of England","East Anglia","Outside London","1410","[c]","26710","25850"
"New entrant CS","2021","East of England","Essex","Outside London","790","[c]","27620","29290"
"New entrant CS","2021","London","Inner London - East","London","3330","[c]","35420","31060"
"New entrant CS","2021","London","Inner London - West","London","8340","[c]","37660","32790"
"New entrant CS","2021","London","Outer London - East and North East","London","930","[c]","29040","31060"
"New entrant CS","2021","London","Outer London - South","London","1075","[c]","33050","31060"
"New entrant CS","2021","London","Outer London - West and North West","London","1435","[c]","30310","31060"
"New entrant CS","2021","North East (England)","Northumberland and Tyne and Wear","Outside London","2560","[c]","24860","21010"
"New entrant CS","2021","North East (England)","Tees Valley and Durham","Outside London","705","[c]","23620","21050"
"New entrant CS","2021","North West (England)","Cheshire","Outside London","670","[c]","27800","27570"
"New entrant CS","2021","North West (England)","Cumbria","Outside London","145","[c]","28260","23540"
"New entrant CS","2021","North West (England)","Greater Manchester","Outside London","2675","[c]","27970","25560"
"New entrant CS","2021","North West (England)","Lancashire","Outside London","1290","[c]","23540","21010"
"New entrant CS","2021","North West (England)","Merseyside","Outside London","1245","[c]","26160","22570"
"New entrant CS","2021","Northern Ireland","Northern Ireland","Outside London","355","[c]","24170","20140"
"New entrant CS","2021","Overseas","Overseas","Overseas","40","[c]","37810","33000"
"New entrant CS","2021","Scotland","Eastern Scotland","Outside London","2090","[c]","28880","25560"
"New entrant CS","2021","Scotland","Highlands and Islands","Outside London","205","[c]","25120","21710"
"New entrant CS","2021","Scotland","North Eastern Scotland","Outside London","190","[c]","28000","27570"
"New entrant CS","2021","Scotland","Southern Scotland","Outside London","475","[c]","23680","20810"
"New entrant CS","2021","Scotland","West Central Scotland","Outside London","1530","[c]","27110","23450"
"New entrant CS","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","1260","[c]","28730","27570"
"New entrant CS","2021","South East (England)","Hampshire and Isle of Wight","Outside London","1870","[c]","28670","27570"
"New entrant CS","2021","South East (England)","Kent","Outside London","1145","[c]","26720","27850"
"New entrant CS","2021","South East (England)","Surrey, East and West Sussex","Outside London","1350","[c]","26950","27570"
"New entrant CS","2021","South West (England)","Cornwall and Isles of Scilly","Outside London","180","[c]","27020","27570"
"New entrant CS","2021","South West (England)","Devon","Outside London","1060","[c]","26270","22850"
"New entrant CS","2021","South West (England)","Dorset and Somerset","Outside London","520","[c]","25620","22920"
"New entrant CS","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","3205","[c]","30350","27570"
"New entrant CS","2021","Unknown","Unknown","Unknown","895","[c]","32720","27570"
"New entrant CS","2021","Wales","East Wales","Outside London","1935","[c]","26810","23320"
"New entrant CS","2021","Wales","West Wales and The Valleys","Outside London","1015","[c]","24190","21590"
"New entrant CS","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","405","[c]","25600","22850"
"New entrant CS","2021","West Midlands (England)","Shropshire and Staffordshire","Outside London","1050","[c]","25610","24000"
"New entrant CS","2021","West Midlands (England)","West Midlands","Outside London","2000","[c]","28870","27000"
"New entrant CS","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","440","[c]","24590","22850"
"New entrant CS","2021","Yorkshire and The Humber","North Yorkshire","Outside London","555","[c]","29600","27570"
"New entrant CS","2021","Yorkshire and The Humber","South Yorkshire","Outside London","1035","[c]","27110","24120"
"New entrant CS","2021","Yorkshire and The Humber","West Yorkshire","Outside London","2485","[c]","28060","27570"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","","",""
"Region_ITL1","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","","","",""
"","ITL 1 divides into Wales, Scotland, Northern Ireland, and the 9 statistical regions of England.","","","","","","",""
"Region_ITL2","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","","","",""
"","ITL 2 divides into Northern Ireland, counties in England (most grouped), groups of districts in Greater London, groups of unitary authorities in Wales, groups of council areas in Scotland.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
