"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","North East (England)","SEO/HEO","Male","2815","2725","35320","33840"
"In post","2021","North East (England)","Unknown","Female","545","500","29010","28200"
"In post","2021","North East (England)","Unknown","Male","170","165","30570","30210"
"In post","2021","North West (England)","AA/AO","Female","12435","10545","21110","21010"
"In post","2021","North West (England)","AA/AO","Male","8675","8245","22130","21010"
"In post","2021","North West (England)","EO","Female","10860","9690","26780","27570"
"In post","2021","North West (England)","EO","Male","7515","7260","27070","27570"
"In post","2021","North West (England)","G6/G7","Female","2285","2175","55500","52580"
"In post","2021","North West (England)","G6/G7","Male","2280","2230","57170","53430"
"In post","2021","North West (England)","SCS level","Female","140","130","84920","77560"
"In post","2021","North West (England)","SCS level","Male","145","145","89260","81860"
"In post","2021","North West (England)","SEO/HEO","Female","6945","6525","34820","33300"
"In post","2021","North West (England)","SEO/HEO","Male","6030","5870","35560","33840"
"In post","2021","North West (England)","Unknown","Female","1465","1345","29570","30210"
"In post","2021","North West (England)","Unknown","Male","565","545","33310","32690"
"In post","2021","Northern Ireland","AA/AO","Female","700","605","20930","21400"
"In post","2021","Northern Ireland","AA/AO","Male","985","950","20660","20310"
"In post","2021","Northern Ireland","EO","Female","500","455","26610","25560"
"In post","2021","Northern Ireland","EO","Male","480","470","26510","25560"
"In post","2021","Northern Ireland","G6/G7","Female","110","105","55590","52580"
"In post","2021","Northern Ireland","G6/G7","Male","125","120","56140","52580"
"In post","2021","Northern Ireland","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Northern Ireland","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Northern Ireland","SEO/HEO","Female","435","415","34640","31940"
"In post","2021","Northern Ireland","SEO/HEO","Male","465","450","35030","32100"
"In post","2021","Northern Ireland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Overseas","AA/AO","Male","25","25","[c]","[c]"
"In post","2021","Overseas","EO","Female","125","125","27990","27160"
"In post","2021","Overseas","EO","Male","150","150","28040","27370"
"In post","2021","Overseas","G6/G7","Female","555","550","59480","58030"
"In post","2021","Overseas","G6/G7","Male","785","780","60220","58030"
"In post","2021","Overseas","SCS level","Female","110","110","84260","75880"
"In post","2021","Overseas","SCS level","Male","175","175","87050","78410"
"In post","2021","Overseas","SEO/HEO","Female","580","580","38720","36960"
"In post","2021","Overseas","SEO/HEO","Male","965","960","40640","36920"
"In post","2021","Overseas","Unknown","Female","100","100","[c]","[c]"
"In post","2021","Overseas","Unknown","Male","155","155","[c]","[c]"
"In post","2021","Scotland","AA/AO","Female","9455","8140","21510","21010"
"In post","2021","Scotland","AA/AO","Male","7395","7105","22880","21010"
"In post","2021","Scotland","EO","Female","7360","6625","27680","27570"
"In post","2021","Scotland","EO","Male","6195","5925","28920","27570"
"In post","2021","Scotland","G6/G7","Female","2445","2315","60440","61010"
"In post","2021","Scotland","G6/G7","Male","2200","2150","61320","61010"
"In post","2021","Scotland","SCS level","Female","150","145","88410","83230"
"In post","2021","Scotland","SCS level","Male","180","180","87990","83230"
"In post","2021","Scotland","SEO/HEO","Female","6200","5825","37230","35110"
"In post","2021","Scotland","SEO/HEO","Male","5900","5700","38630","37480"
"In post","2021","Scotland","Unknown","Female","40","40","34240","28630"
"In post","2021","Scotland","Unknown","Male","75","70","43530","44820"
"In post","2021","South East (England)","AA/AO","Female","7115","6190","22660","21430"
"In post","2021","South East (England)","AA/AO","Male","7040","6690","25500","23270"
"In post","2021","South East (England)","EO","Female","6880","6200","27730","27570"
"In post","2021","South East (England)","EO","Male","5855","5600","28530","27570"
"In post","2021","South East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","G6/G7","Female","1380","1290","56990","54540"
"In post","2021","South East (England)","G6/G7","Male","2000","1940","57360","54980"
"In post","2021","South East (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","SCS level","Female","95","90","89790","87940"
"In post","2021","South East (England)","SCS level","Male","95","95","93490","91810"
"In post","2021","South East (England)","SEO/HEO","Female","4735","4455","35990","35000"
"In post","2021","South East (England)","SEO/HEO","Male","5045","4910","37320","36460"
"In post","2021","South East (England)","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","South East (England)","Unknown","Female","1095","990","29750","30210"
"In post","2021","South East (England)","Unknown","Male","425","415","32540","31420"
"In post","2021","South West (England)","AA/AO","Female","5075","4420","21370","21010"
"In post","2021","South West (England)","AA/AO","Male","4325","4165","23090","21010"
"In post","2021","South West (England)","EO","Female","5680","5030","26350","27130"
"In post","2021","South West (England)","EO","Male","4895","4745","26620","27080"
"In post","2021","South West (England)","G6/G7","Female","2325","2180","55270","53940"
"In post","2021","South West (England)","G6/G7","Male","3870","3765","56560","54760"
"In post","2021","South West (England)","SCS level","Female","125","120","92260","87430"
"In post","2021","South West (England)","SCS level","Male","215","210","98490","91830"
"In post","2021","South West (England)","SEO/HEO","Female","7020","6515","35400","34130"
"In post","2021","South West (England)","SEO/HEO","Male","9150","8935","36990","37260"
"In post","2021","South West (England)","Unknown","Female","1200","1090","32980","31420"
"In post","2021","South West (England)","Unknown","Male","1300","1275","41370","39000"
"In post","2021","Unknown","AA/AO","Female","155","135","22450","21010"
"In post","2021","Unknown","AA/AO","Male","85","80","21840","21010"
"In post","2021","Unknown","EO","Female","355","330","28060","27570"
"In post","2021","Unknown","EO","Male","230","225","28000","27570"
"In post","2021","Unknown","G6/G7","Female","105","100","56820","54700"
"In post","2021","Unknown","G6/G7","Male","90","90","58380","55000"
"In post","2021","Unknown","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Unknown","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Female","400","390","33560","32000"
"In post","2021","Unknown","SEO/HEO","Male","360","360","34840","32750"
"In post","2021","Unknown","Unknown","Female","165","165","33050","32700"
"In post","2021","Unknown","Unknown","Male","1745","1745","37670","34160"
"In post","2021","Wales","AA/AO","Female","7920","6630","20970","21050"
"In post","2021","Wales","AA/AO","Male","5010","4775","21660","21130"
"In post","2021","Wales","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","EO","Female","5430","4875","26800","27570"
"In post","2021","Wales","EO","Male","3985","3850","27240","27460"
"In post","2021","Wales","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Wales","G6/G7","Female","1495","1410","57950","56950"
"In post","2021","Wales","G6/G7","Male","1720","1680","59290","59300"
"In post","2021","Wales","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","SCS level","Female","120","120","84940","79180"
"In post","2021","Wales","SCS level","Male","185","180","89140","80200"
"In post","2021","Wales","SEO/HEO","Female","4840","4530","36550","37020"
"In post","2021","Wales","SEO/HEO","Male","4265","4155","37300","37020"
"In post","2021","Wales","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Wales","Unknown","Female","865","800","29420","28200"
"In post","2021","Wales","Unknown","Male","240","235","31380","30210"
"In post","2021","West Midlands (England)","AA/AO","Female","5990","5175","21140","21000"
"In post","2021","West Midlands (England)","AA/AO","Male","4360","4195","22840","21010"
"In post","2021","West Midlands (England)","EO","Female","5470","4855","26840","27570"
"In post","2021","West Midlands (England)","EO","Male","3890","3765","27350","27570"
"In post","2021","West Midlands (England)","G6/G7","Female","1210","1150","56160","52580"
"In post","2021","West Midlands (England)","G6/G7","Male","1155","1130","57880","54400"
"In post","2021","West Midlands (England)","SCS level","Female","105","100","94240","86990"
"In post","2021","West Midlands (England)","SCS level","Male","105","100","98050","90800"
"In post","2021","West Midlands (England)","SEO/HEO","Female","3690","3470","35530","33840"
"In post","2021","West Midlands (England)","SEO/HEO","Male","3110","3035","36440","35000"
"In post","2021","West Midlands (England)","Unknown","Female","1035","935","29090","28200"
"In post","2021","West Midlands (England)","Unknown","Male","375","360","31050","30880"
"In post","2021","Yorkshire and The Humber","AA/AO","Female","6240","5305","21540","21010"
"In post","2021","Yorkshire and The Humber","AA/AO","Male","5430","5185","23410","21430"
"In post","2021","Yorkshire and The Humber","EO","Female","5830","5130","26850","27570"
"In post","2021","Yorkshire and The Humber","EO","Male","4685","4520","27440","27380"
"In post","2021","Yorkshire and The Humber","G6/G7","Female","1975","1845","55770","52580"
"In post","2021","Yorkshire and The Humber","G6/G7","Male","1880","1840","56870","53730"
