"Status","Year","Age","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","55","55","22230","21150"
"In post","2021","16-19","Declared non-disabled","690","670","21650","21010"
"In post","2021","16-19","Undeclared","30","25","[c]","[c]"
"In post","2021","16-19","Unknown","555","535","20660","20140"
"In post","2021","20-29","Declared disabled","4935","4840","28940","27570"
"In post","2021","20-29","Declared non-disabled","46505","45815","29220","27570"
"In post","2021","20-29","Undeclared","2765","2725","30540","28650"
"In post","2021","20-29","Unknown","23220","22905","28590","27150"
"In post","2021","30-39","Declared disabled","8140","7700","32630","28680"
"In post","2021","30-39","Declared non-disabled","69240","65420","34400","30820"
"In post","2021","30-39","Undeclared","5445","5190","34400","31180"
"In post","2021","30-39","Unknown","20580","19750","34810","31470"
"In post","2021","40-49","Declared disabled","11800","10920","32810","27570"
"In post","2021","40-49","Declared non-disabled","76850","71765","36510","31550"
"In post","2021","40-49","Undeclared","6825","6465","34900","31650"
"In post","2021","40-49","Unknown","16815","15935","38190","33090"
"In post","2021","50-59","Declared disabled","18445","17020","31890","27570"
"In post","2021","50-59","Declared non-disabled","94775","88820","34970","29710"
"In post","2021","50-59","Undeclared","10215","9675","33910","31650"
"In post","2021","50-59","Unknown","17595","16620","36960","32140"
"In post","2021","60-64","Declared disabled","5520","4475","29470","27570"
"In post","2021","60-64","Declared non-disabled","25080","20655","31920","27570"
"In post","2021","60-64","Undeclared","2620","2155","31380","27810"
"In post","2021","60-64","Unknown","4490","3750","32970","28130"
"In post","2021","65+","Declared disabled","1655","1240","28410","26410"
"In post","2021","65+","Declared non-disabled","7740","5910","30570","26780"
"In post","2021","65+","Undeclared","840","645","30050","26900"
"In post","2021","65+","Unknown","1405","1105","33420","26910"
"In post","2021","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","20","20","[c]","[c]"
"In post","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","25","25","[c]","[c]"
"Leaver CS","2021","16-19","Declared disabled","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared non-disabled","55","[c]","20690","21010"
"Leaver CS","2021","16-19","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","50","[c]","19120","18760"
"Leaver CS","2021","20-29","Declared disabled","310","[c]","25650","22670"
"Leaver CS","2021","20-29","Declared non-disabled","2625","[c]","25870","24110"
"Leaver CS","2021","20-29","Undeclared","180","[c]","28000","24110"
"Leaver CS","2021","20-29","Unknown","2275","[c]","24970","22680"
"Leaver CS","2021","30-39","Declared disabled","260","[c]","29580","27570"
"Leaver CS","2021","30-39","Declared non-disabled","2200","[c]","34530","29470"
"Leaver CS","2021","30-39","Undeclared","225","[c]","33830","31060"
"Leaver CS","2021","30-39","Unknown","1400","[c]","33220","29750"
"Leaver CS","2021","40-49","Declared disabled","330","[c]","30730","27570"
"Leaver CS","2021","40-49","Declared non-disabled","1800","[c]","37070","29560"
