"Status","Year","Age","Organisation","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","East Wales","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Eastern Scotland","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
