"Status","Year","Function_of_post","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Outside London","Female","20","15","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Outside London","Male","30","30","37100","33350"
"In post","2021","Analysis","East of England","Outside London","Female","170","155","32370","29990"
"In post","2021","Analysis","East of England","Outside London","Male","215","210","37180","35900"
"In post","2021","Analysis","London","London","Female","1485","1415","48450","44380"
"In post","2021","Analysis","London","London","Male","1955","1925","49350","45250"
"In post","2021","Analysis","London","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","North East (England)","Outside London","Female","30","25","[c]","[c]"
"In post","2021","Analysis","North East (England)","Outside London","Male","30","30","40930","41340"
"In post","2021","Analysis","North West (England)","Outside London","Female","170","155","38710","36840"
"In post","2021","Analysis","North West (England)","Outside London","Male","200","195","38310","38630"
"In post","2021","Analysis","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Outside London","Female","30","30","[c]","[c]"
"In post","2021","Analysis","Scotland","Outside London","Male","40","40","49670","39290"
"In post","2021","Analysis","South East (England)","Outside London","Female","375","345","37700","37020"
"In post","2021","Analysis","South East (England)","Outside London","Male","490","480","40030","37320"
"In post","2021","Analysis","South East (England)","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Outside London","Female","220","200","36420","33300"
"In post","2021","Analysis","South West (England)","Outside London","Male","245","240","37600","36000"
"In post","2021","Analysis","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Outside London","Female","555","515","35200","33020"
"In post","2021","Analysis","Wales","Outside London","Male","515","505","37520","36030"
"In post","2021","Analysis","Wales","Outside London","Unknown","15","15","[c]","[c]"
