"Status","Year","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AA","Heterosexual / straight","30","30","20650","21150"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AA","Undeclared","25","15","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AA","Unknown","35","30","20990","20810"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AO","Heterosexual / straight","215","200","26780","22320"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AO","Undeclared","65","60","26530","22820"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AO","Unknown","160","155","25610","25140"
"In post","2021","Aberdeen City and Aberdeenshire","EO","EO","Heterosexual / straight","355","335","28770","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","EO","LGBO","30","30","29000","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","EO","Undeclared","55","55","29190","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","EO","Unknown","150","140","30600","29920"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G6","Undeclared","5","5","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G7","Heterosexual / straight","65","60","64880","61010"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G7","Unknown","20","20","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Heterosexual / straight","175","165","35560","33760"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Unknown","85","80","35620","35110"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Heterosexual / straight","200","190","57350","46600"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Unknown","65","55","50700","46600"
"In post","2021","Angus and Dundee City","AA/AO","AA","Heterosexual / straight","90","85","21110","21150"
"In post","2021","Angus and Dundee City","AA/AO","AA","LGBO","10","10","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","AA","Undeclared","20","15","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","AA","Unknown","35","35","21270","21150"
"In post","2021","Angus and Dundee City","AA/AO","AO","Heterosexual / straight","540","495","21250","21010"
"In post","2021","Angus and Dundee City","AA/AO","AO","LGBO","45","40","21080","21010"
"In post","2021","Angus and Dundee City","AA/AO","AO","Undeclared","95","80","21370","21010"
"In post","2021","Angus and Dundee City","AA/AO","AO","Unknown","275","250","20820","21010"
"In post","2021","Angus and Dundee City","EO","EO","Heterosexual / straight","335","310","27400","27570"
"In post","2021","Angus and Dundee City","EO","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","EO","Undeclared","40","35","28090","27570"
"In post","2021","Angus and Dundee City","EO","EO","Unknown","100","85","27290","27570"
"In post","2021","Angus and Dundee City","G6/G7","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","G7","Heterosexual / straight","30","30","56330","54300"
"In post","2021","Angus and Dundee City","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","G7","Unknown","10","10","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","HEO","Heterosexual / straight","100","90","32650","32140"
"In post","2021","Angus and Dundee City","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","HEO","Unknown","25","20","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","SEO","Heterosexual / straight","80","80","42760","39660"
"In post","2021","Angus and Dundee City","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","SEO","Unknown","10","10","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","AA","Heterosexual / straight","95","90","19850","20310"
"In post","2021","Antrim and Newtownabbey","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","AA","Unknown","15","15","[c]","[c]"
