"Status","Year","Age","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Female","530","505","20970","21010"
"In post","2021","16-19","AA/AO","Male","420","400","20590","20600"
"In post","2021","16-19","EO","Female","125","125","24330","25200"
"In post","2021","16-19","EO","Male","175","175","22150","23050"
"In post","2021","16-19","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Male","55","55","18820","16780"
"In post","2021","20-29","AA/AO","Female","13805","13265","22160","21010"
"In post","2021","20-29","AA/AO","Male","12655","12475","22830","21430"
"In post","2021","20-29","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Female","12040","11850","27120","27500"
"In post","2021","20-29","EO","Male","9555","9510","26910","27150"
"In post","2021","20-29","EO","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","G6/G7","Female","2275","2265","54260","53380"
"In post","2021","20-29","G6/G7","Male","2075","2070","54690","53600"
"In post","2021","20-29","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Female","20","20","[c]","[c]"
"In post","2021","20-29","SCS level","Male","25","25","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Female","11825","11745","34140","33210"
"In post","2021","20-29","SEO/HEO","Male","10145","10115","34340","33430"
"In post","2021","20-29","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Female","2020","1980","25740","23840"
"In post","2021","20-29","Unknown","Male","950","940","27500","27370"
"In post","2021","30-39","AA/AO","Female","13725","11610","21940","21010"
"In post","2021","30-39","AA/AO","Male","12105","11895","23740","21550"
"In post","2021","30-39","EO","Female","14165","12880","27340","27570"
"In post","2021","30-39","EO","Male","11500","11415","27650","27570"
"In post","2021","30-39","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Female","8520","8120","56930","54720"
"In post","2021","30-39","G6/G7","Male","8005","7945","57270","55060"
"In post","2021","30-39","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","SCS level","Female","590","560","78820","74650"
"In post","2021","30-39","SCS level","Male","575","570","79370","74770"
"In post","2021","30-39","SEO/HEO","Female","15945","15115","36110","35400"
"In post","2021","30-39","SEO/HEO","Male","14380","14295","36360","35900"
"In post","2021","30-39","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","30-39","Unknown","Female","2560","2330","29980","30210"
"In post","2021","30-39","Unknown","Male","1315","1305","34410","32700"
"In post","2021","40-49","AA/AO","Female","15860","13255","21750","21010"
"In post","2021","40-49","AA/AO","Male","11370","11070","23740","21430"
"In post","2021","40-49","EO","Female","16655","14795","27580","27570"
"In post","2021","40-49","EO","Male","11730","11595","28070","27570"
"In post","2021","40-49","G6/G7","Female","9765","9095","58880","57430"
"In post","2021","40-49","G6/G7","Male","9380","9300","59270","57680"
"In post","2021","40-49","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","SCS level","Female","1455","1370","86380","79530"
"In post","2021","40-49","SCS level","Male","1440","1430","89990","82500"
"In post","2021","40-49","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","SEO/HEO","Female","16380","15295","37080","36500"
"In post","2021","40-49","SEO/HEO","Male","14275","14155","37710","37290"
"In post","2021","40-49","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Female","2585","2340","32920","32690"
"In post","2021","40-49","Unknown","Male","1395","1380","37710","36580"
"In post","2021","50-59","AA/AO","Female","23950","20540","21610","21010"
"In post","2021","50-59","AA/AO","Male","16535","15820","23840","21430"
"In post","2021","50-59","EO","Female","22930","20665","27770","27570"
"In post","2021","50-59","EO","Male","16255","15670","28800","27570"
"In post","2021","50-59","G6/G7","Female","8300","7960","59660","57870"
"In post","2021","50-59","G6/G7","Male","10125","10010","60950","59300"
"In post","2021","50-59","SCS level","Female","1145","1110","93830","85380"
"In post","2021","50-59","SCS level","Male","1485","1470","97300","89750"
"In post","2021","50-59","SEO/HEO","Female","17940","17030","36980","36100"
"In post","2021","50-59","SEO/HEO","Male","18345","18040","38820","38160"
"In post","2021","50-59","Unknown","Female","2225","2065","32070","30210"
"In post","2021","50-59","Unknown","Male","1790","1765","39910","37170"
"In post","2021","60-64","AA/AO","Female","8695","6740","21360","21010"
"In post","2021","60-64","AA/AO","Male","5830","5050","22700","21010"
