"Status","Year","Disability","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","AA","Female","60","55","18990","19560"
"In post","2021","Declared disabled","East Midlands (England)","AA","Male","65","65","19850","20070"
"In post","2021","Declared disabled","East Midlands (England)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","AO","Female","485","410","21340","21010"
"In post","2021","Declared disabled","East Midlands (England)","AO","Male","350","325","22690","21010"
"In post","2021","Declared disabled","East Midlands (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","EO","Female","560","495","26820","27570"
"In post","2021","Declared disabled","East Midlands (England)","EO","Male","330","315","27310","27570"
"In post","2021","Declared disabled","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","G6","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","G6","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","G7","Female","65","60","53390","52580"
"In post","2021","Declared disabled","East Midlands (England)","G7","Male","35","30","55920","52580"
"In post","2021","Declared disabled","East Midlands (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","HEO","Female","190","180","32340","31990"
"In post","2021","Declared disabled","East Midlands (England)","HEO","Male","140","135","32990","31990"
"In post","2021","Declared disabled","East Midlands (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SEO","Female","95","90","40970","38700"
"In post","2021","Declared disabled","East Midlands (England)","SEO","Male","65","65","42890","41550"
"In post","2021","Declared disabled","East Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","Female","170","155","29820","28200"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","Male","30","30","33290","36630"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","AA","Female","70","65","19510","19560"
"In post","2021","Declared disabled","East of England","AA","Male","70","65","19960","19560"
"In post","2021","Declared disabled","East of England","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","AO","Female","420","360","22820","21440"
"In post","2021","Declared disabled","East of England","AO","Male","265","250","25370","23520"
"In post","2021","Declared disabled","East of England","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","EO","Female","615","545","28310","27570"
"In post","2021","Declared disabled","East of England","EO","Male","335","315","28760","27570"
"In post","2021","Declared disabled","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","G6","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","G6","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","East of England","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","G7","Female","50","45","55710","54150"
"In post","2021","Declared disabled","East of England","G7","Male","40","35","59620","57830"
"In post","2021","Declared disabled","East of England","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","HEO","Female","160","150","33230","33300"
"In post","2021","Declared disabled","East of England","HEO","Male","175","170","34450","33300"
"In post","2021","Declared disabled","East of England","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SEO","Female","100","95","42320","41000"
"In post","2021","Declared disabled","East of England","SEO","Male","80","75","43810","42630"
"In post","2021","Declared disabled","East of England","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Unknown","Female","140","125","28350","28200"
"In post","2021","Declared disabled","East of England","Unknown","Male","35","35","29990","28200"
"In post","2021","Declared disabled","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","AA","Female","95","85","21990","22210"
"In post","2021","Declared disabled","London","AA","Male","70","65","21690","22110"
"In post","2021","Declared disabled","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","AO","Female","735","650","25010","25060"
"In post","2021","Declared disabled","London","AO","Male","470","455","26410","25110"
