"Status","Year","Ethnicity","Parent_department","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Leicester","40","35","36100","30870"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Nottingham","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Heart of Essex","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Hertfordshire","20","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Croydon","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Harrow and Hillingdon","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Westminster","560","525","44860","50500"
"In post","2021","Asian","Attorney General's Departments","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Manchester","25","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Mid Lancashire","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Berkshire","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
