"Status","Year","Function_of_post","Organisation","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","Westminster","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","Suffolk","350","330","34300","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Dorset CC","115","110","33040","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","North Yorkshire CC","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Westminster","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","Sefton","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Tower Hamlets","130","125","60780","56360"
"In post","2021","Analysis","Competition and Markets Authority","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Yorkshire and The Humber","Wakefield","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","Camden and City of London","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South East (England)","Central Hampshire","335","320","40980","37940"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South East (England)","South Hampshire","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South West (England)","Wiltshire","110","110","37730","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Westminster","290","285","43330","36220"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Westminster","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","East Midlands (England)","Nottingham","10","10","42290","42500"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","Westminster","175","165","46830","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","North East (England)","Darlington","30","30","43530","42580"
"In post","2021","Analysis","Department for Education (excl. agencies)","North West (England)","Manchester","40","40","37840","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","South West (England)","Bristol, City of","20","15","41410","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Midlands (England)","Coventry","10","10","41650","40130"
"In post","2021","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","Sheffield","120","115","44020","42420"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Westminster","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","York","45","45","35100","31310"
"In post","2021","Analysis","Department for International Trade","London","Westminster","230","230","42740","38540"
"In post","2021","Analysis","Department for International Trade","South East (England)","Berkshire","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","Westminster","380","370","46950","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","South East (England)","East Sussex CC","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","South East (England)","West Surrey","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","Westminster","200","190","53940","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","Leeds","85","85","47560","49530"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Wales","Swansea","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","Nottingham","10","10","32350","32830"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","South West (England)","Bristol, City of","15","15","33680","31380"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Yorkshire and The Humber","Leeds","10","10","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Wales","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","Westminster","30","25","43150","40650"
"In post","2021","Analysis","Food Standards Agency","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Westminster","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","Camden and City of London","165","155","69370","65470"
"In post","2021","Analysis","Government Actuary's Department","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","East Midlands (England)","South and West Derbyshire","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","North West (England)","Sefton","25","25","41550","39390"
"In post","2021","Analysis","Health and Safety Executive","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","Tower Hamlets","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","Westminster","[c]","[c]","[c]","[c]"
