"Status","Year","Disability","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","Outside London","55","55","37970","37320"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education (excl. agencies)","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
