"Status","Year","Region_ITL2","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","AA/AO","Female","710","635","23310","22080"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","AA/AO","Male","555","540","25850","24670"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","EO","Female","945","855","28730","29290"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","EO","Male","665","630","29440","29290"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","G6/G7","Female","170","160","59770","58690"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","G6/G7","Male","155","155","61000","59730"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","Female","500","470","38470","37640"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","Male","515","505","38800","37800"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","Unknown","Female","240","220","27880","24410"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","Unknown","Male","55","55","28700","24170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","Female","1625","1485","23520","21900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","Male","1955","1930","27270","26580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","Female","1355","1255","28360","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","Male","1060","1040","30460","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","Female","355","320","59640","57120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","Male","410","395","60220","57440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","Female","30","30","92620","90900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","Female","1090","1025","37160","35900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","Male","1190","1155","39240","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","Female","330","300","29520","28200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","Male","160","160","30540","28130"
"In post","2021","Cheshire","Outside London","AA/AO","Female","695","615","22380","21010"
"In post","2021","Cheshire","Outside London","AA/AO","Male","510","490","24210","22030"
"In post","2021","Cheshire","Outside London","EO","Female","825","770","28970","27570"
"In post","2021","Cheshire","Outside London","EO","Male","610","595","30330","28840"
"In post","2021","Cheshire","Outside London","G6/G7","Female","100","95","56030","55740"
"In post","2021","Cheshire","Outside London","G6/G7","Male","105","105","57940","55740"
"In post","2021","Cheshire","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Cheshire","Outside London","SEO/HEO","Female","410","385","38230","36740"
"In post","2021","Cheshire","Outside London","SEO/HEO","Male","440","430","40550","40210"
"In post","2021","Cheshire","Outside London","Unknown","Female","155","140","29570","30210"
"In post","2021","Cheshire","Outside London","Unknown","Male","40","40","28780","26740"
"In post","2021","Cornwall and Isles of Scilly","Outside London","AA/AO","Female","405","340","20780","21010"
"In post","2021","Cornwall and Isles of Scilly","Outside London","AA/AO","Male","305","295","20970","21010"
"In post","2021","Cornwall and Isles of Scilly","Outside London","EO","Female","355","310","27370","27570"
"In post","2021","Cornwall and Isles of Scilly","Outside London","EO","Male","270","260","27020","27570"
"In post","2021","Cornwall and Isles of Scilly","Outside London","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Outside London","G6/G7","Male","25","20","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Outside London","SEO/HEO","Female","100","95","34680","33300"
"In post","2021","Cornwall and Isles of Scilly","Outside London","SEO/HEO","Male","115","110","36450","35480"
"In post","2021","Cornwall and Isles of Scilly","Outside London","Unknown","Female","35","30","28790","24320"
"In post","2021","Cornwall and Isles of Scilly","Outside London","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Cumbria","Outside London","AA/AO","Female","560","470","21310","21050"
"In post","2021","Cumbria","Outside London","AA/AO","Male","365","355","22920","21050"
"In post","2021","Cumbria","Outside London","EO","Female","360","310","26150","26350"
"In post","2021","Cumbria","Outside London","EO","Male","215","210","26150","25990"
"In post","2021","Cumbria","Outside London","G6/G7","Female","40","40","53450","51590"
"In post","2021","Cumbria","Outside London","G6/G7","Male","35","35","54310","53870"
"In post","2021","Cumbria","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Outside London","SEO/HEO","Female","175","160","34320","33040"
"In post","2021","Cumbria","Outside London","SEO/HEO","Male","140","140","35560","35840"
"In post","2021","Cumbria","Outside London","Unknown","Female","105","95","32510","31150"
"In post","2021","Cumbria","Outside London","Unknown","Male","140","135","41820","40670"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","AA/AO","Female","2105","1830","21370","21010"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","AA/AO","Male","1685","1610","23010","21010"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","EO","Female","2065","1835","26600","27540"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","EO","Male","1480","1430","26950","27130"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","G6/G7","Female","555","525","56410","53150"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","G6/G7","Male","585","565","58010","53330"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","SCS level","Female","40","40","89520","83240"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","SCS level","Male","35","35","92130","87580"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","Female","1770","1650","35360","33350"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","Male","1460","1415","35670","33610"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","Unknown","Female","385","345","29070","28200"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","Unknown","Male","120","115","33000","33670"
"In post","2021","Devon","Outside London","AA/AO","Female","1635","1375","21320","21010"
"In post","2021","Devon","Outside London","AA/AO","Male","1460","1385","23500","21050"
"In post","2021","Devon","Outside London","EO","Female","1225","1065","27020","27570"
"In post","2021","Devon","Outside London","EO","Male","1120","1080","27020","27380"
"In post","2021","Devon","Outside London","G6/G7","Female","305","285","53710","49810"
"In post","2021","Devon","Outside London","G6/G7","Male","530","510","55660","52580"
"In post","2021","Devon","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Devon","Outside London","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Devon","Outside London","SEO/HEO","Female","1010","920","36570","36330"
"In post","2021","Devon","Outside London","SEO/HEO","Male","1395","1355","38420","38450"
"In post","2021","Devon","Outside London","Unknown","Female","170","155","31150","30210"
"In post","2021","Devon","Outside London","Unknown","Male","145","140","37070","37170"
"In post","2021","Dorset and Somerset","Outside London","AA/AO","Female","820","725","21540","21010"
"In post","2021","Dorset and Somerset","Outside London","AA/AO","Male","900","875","23240","21130"
"In post","2021","Dorset and Somerset","Outside London","EO","Female","865","750","27010","27570"
"In post","2021","Dorset and Somerset","Outside London","EO","Male","755","720","27750","27570"
"In post","2021","Dorset and Somerset","Outside London","G6/G7","Female","80","75","58990","55310"
"In post","2021","Dorset and Somerset","Outside London","G6/G7","Male","120","115","59160","55460"
"In post","2021","Dorset and Somerset","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Dorset and Somerset","Outside London","SEO/HEO","Female","560","515","35630","33840"
"In post","2021","Dorset and Somerset","Outside London","SEO/HEO","Male","870","845","37210","35340"
"In post","2021","Dorset and Somerset","Outside London","Unknown","Female","175","150","27950","25210"
"In post","2021","Dorset and Somerset","Outside London","Unknown","Male","55","55","29550","30210"
"In post","2021","East Anglia","Outside London","AA/AO","Female","2500","2190","21970","21130"
"In post","2021","East Anglia","Outside London","AA/AO","Male","2455","2360","24790","22500"
"In post","2021","East Anglia","Outside London","EO","Female","1770","1565","27020","27570"
"In post","2021","East Anglia","Outside London","EO","Male","1520","1470","28100","27570"
"In post","2021","East Anglia","Outside London","G6/G7","Female","335","320","58110","54620"
"In post","2021","East Anglia","Outside London","G6/G7","Male","390","380","58760","54990"
"In post","2021","East Anglia","Outside London","SCS level","Female","25","25","[c]","[c]"
"In post","2021","East Anglia","Outside London","SCS level","Male","40","40","96960","93690"
"In post","2021","East Anglia","Outside London","SEO/HEO","Female","1360","1280","35680","33840"
"In post","2021","East Anglia","Outside London","SEO/HEO","Male","1570","1525","36420","34610"
"In post","2021","East Anglia","Outside London","Unknown","Female","375","340","29030","30210"
"In post","2021","East Anglia","Outside London","Unknown","Male","115","110","31040","30210"
"In post","2021","East Wales","Outside London","AA/AO","Female","3210","2765","21110","21010"
"In post","2021","East Wales","Outside London","AA/AO","Male","2520","2415","21820","21010"
"In post","2021","East Wales","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Outside London","EO","Female","3025","2740","26430","26930"
"In post","2021","East Wales","Outside London","EO","Male","2475","2395","27060","27460"
"In post","2021","East Wales","Outside London","EO","Unknown","5","5","[c]","[c]"
"In post","2021","East Wales","Outside London","G6/G7","Female","1160","1090","57160","56620"
"In post","2021","East Wales","Outside London","G6/G7","Male","1250","1220","58220","57920"
"In post","2021","East Wales","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Outside London","SCS level","Female","100","100","84330","78460"
"In post","2021","East Wales","Outside London","SCS level","Male","160","155","89330","80100"
"In post","2021","East Wales","Outside London","SEO/HEO","Female","3120","2920","35940","36030"
"In post","2021","East Wales","Outside London","SEO/HEO","Male","2850","2775","36510","36030"
"In post","2021","East Wales","Outside London","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","East Wales","Outside London","Unknown","Female","370","350","29590","28200"
"In post","2021","East Wales","Outside London","Unknown","Male","115","110","31540","31420"
