"Status","Year","Disability","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Outside London","105","95","30210","28200"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","45","45","30810","26670"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire","Outside London","280","260","32730","30000"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Luton","Outside London","80","75","26210","27370"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","325","310","33310","30890"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Outside London","190","180","30340","28200"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","210","200","30500","27570"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Outside London","275","260","31790","29530"
"In post","2021","Declared disabled","Cheshire","Cheshire East","Outside London","95","85","30400","27570"
"In post","2021","Declared disabled","Cheshire","Cheshire West and Chester","Outside London","85","70","26000","27570"
"In post","2021","Declared disabled","Cheshire","Warrington","Outside London","225","210","29820","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","210","185","26460","27570"
"In post","2021","Declared disabled","Cumbria","East Cumbria","Outside London","105","95","28030","25930"
"In post","2021","Declared disabled","Cumbria","West Cumbria","Outside London","140","120","27570","25230"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Derby","Outside London","150","130","24950","21010"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","95","85","26580","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","145","135","28400","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Nottingham","Outside London","905","835","30340","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","145","130","31600","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","110","105","30910","27570"
"In post","2021","Declared disabled","Devon","Devon CC","Outside London","580","515","29000","27570"
"In post","2021","Declared disabled","Devon","Plymouth","Outside London","320","290","28680","27570"
"In post","2021","Declared disabled","Devon","Torbay","Outside London","60","55","25770","27570"
"In post","2021","Declared disabled","Dorset and Somerset","Bournemouth and Poole","Outside London","120","105","26060","27570"
"In post","2021","Declared disabled","Dorset and Somerset","Dorset CC","Outside London","235","220","29260","27570"
"In post","2021","Declared disabled","Dorset and Somerset","Somerset","Outside London","235","215","29600","27570"
"In post","2021","Declared disabled","East Anglia","Breckland and South Norfolk","Outside London","55","50","27970","27570"
"In post","2021","Declared disabled","East Anglia","Cambridgeshire CC","Outside London","350","325","32890","31220"
"In post","2021","Declared disabled","East Anglia","North and West Norfolk","Outside London","110","105","28630","27570"
"In post","2021","Declared disabled","East Anglia","Norwich and East Norfolk","Outside London","230","205","28290","27570"
"In post","2021","Declared disabled","East Anglia","Peterborough","Outside London","205","185","27580","25310"
"In post","2021","Declared disabled","East Anglia","Suffolk","Outside London","410","375","27970","27570"
"In post","2021","Declared disabled","East Wales","Cardiff and Vale of Glamorgan","Outside London","1080","990","31610","27570"
"In post","2021","Declared disabled","East Wales","Flintshire and Wrexham","Outside London","215","195","27590","26780"
"In post","2021","Declared disabled","East Wales","Monmouthshire and Newport","Outside London","440","410","32240","29540"
"In post","2021","Declared disabled","East Wales","Powys","Outside London","50","45","28770","27570"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","165","160","28010","26930"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","250","210","26740","27130"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","90","75","25980","27570"
"In post","2021","Declared disabled","Eastern Scotland","Angus and Dundee City","Outside London","260","235","24050","21010"
"In post","2021","Declared disabled","Eastern Scotland","City of Edinburgh","Outside London","1100","1040","36250","31810"
"In post","2021","Declared disabled","Eastern Scotland","Clackmannanshire and Fife","Outside London","170","160","30170","27570"
"In post","2021","Declared disabled","Eastern Scotland","East Lothian and Midlothian","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Falkirk","Outside London","185","160","27740","27570"
"In post","2021","Declared disabled","Eastern Scotland","Perth and Kinross and Stirling","Outside London","130","125","31310","30930"
"In post","2021","Declared disabled","Eastern Scotland","West Lothian","Outside London","50","45","29650","27570"
"In post","2021","Declared disabled","Essex","Essex Haven Gateway","Outside London","135","125","32570","29290"
"In post","2021","Declared disabled","Essex","Essex Thames Gateway","Outside London","180","155","27370","29050"
"In post","2021","Declared disabled","Essex","Heart of Essex","Outside London","120","110","31730","29290"
"In post","2021","Declared disabled","Essex","Southend-on-Sea","Outside London","175","155","30820","29290"
"In post","2021","Declared disabled","Essex","Thurrock","Outside London","30","30","27980","29290"
"In post","2021","Declared disabled","Essex","West Essex","Outside London","70","60","29780","27850"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","1350","1290","36550","33370"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","670","610","32550","27570"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Outside London","160","140","27410","27570"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Outside London","75","65","29790","27570"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","750","710","34530","33240"
"In post","2021","Declared disabled","Greater Manchester","Greater Manchester North East","Outside London","170","155","27520","27570"
"In post","2021","Declared disabled","Greater Manchester","Greater Manchester North West","Outside London","285","245","24570","21590"
"In post","2021","Declared disabled","Greater Manchester","Greater Manchester South East","Outside London","180","165","25630","21630"
"In post","2021","Declared disabled","Greater Manchester","Greater Manchester South West","Outside London","560","515","29720","27570"
"In post","2021","Declared disabled","Greater Manchester","Manchester","Outside London","945","885","32190","28130"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Central Hampshire","Outside London","435","420","34270","33300"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Isle of Wight","Outside London","120","105","27360","26680"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","North Hampshire","Outside London","115","110","28910","27570"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Portsmouth","Outside London","425","385","28780","27320"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","South Hampshire","Outside London","430","365","29830","27570"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Southampton","Outside London","150","135","28970","27570"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Outside London","35","30","29180","27570"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Outside London","170","150","26090","24660"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Outside London","235","220","28780","27570"
"In post","2021","Declared disabled","Highlands and Islands","Caithness and Sutherland and Ross and Cromarty","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","110","100","28640","27570"
"In post","2021","Declared disabled","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Na h-Eileanan Siar","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Orkney Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Shetland Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Hackney and Newham","London","435","400","32960","31060"
"In post","2021","Declared disabled","Inner London - East","Haringey and Islington","London","175","170","32360","31060"
"In post","2021","Declared disabled","Inner London - East","Lambeth","London","265","250","36890","32090"
"In post","2021","Declared disabled","Inner London - East","Lewisham and Southwark","London","170","165","32700","31060"
"In post","2021","Declared disabled","Inner London - East","Tower Hamlets","London","520","495","45780","40600"
"In post","2021","Declared disabled","Inner London - West","Camden and City of London","London","295","275","35160","30850"
"In post","2021","Declared disabled","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","London","80","75","31750","31060"
"In post","2021","Declared disabled","Inner London - West","Wandsworth","London","105","95","31720","31880"
"In post","2021","Declared disabled","Inner London - West","Westminster","London","4700","4560","45830","40650"
"In post","2021","Declared disabled","Kent","East Kent","Outside London","450","415","28380","27370"
"In post","2021","Declared disabled","Kent","Kent Thames Gateway","Outside London","180","165","29790","29290"
"In post","2021","Declared disabled","Kent","Medway","Outside London","155","150","31190","29290"
"In post","2021","Declared disabled","Kent","Mid Kent","Outside London","110","105","29540","29290"
"In post","2021","Declared disabled","Kent","West Kent","Outside London","60","55","33370","29290"
"In post","2021","Declared disabled","Lancashire","Blackburn with Darwen","Outside London","70","65","27350","27570"
"In post","2021","Declared disabled","Lancashire","Blackpool","Outside London","765","680","27480","27570"
"In post","2021","Declared disabled","Lancashire","Chorley and West Lancashire","Outside London","125","115","28640","27470"
"In post","2021","Declared disabled","Lancashire","East Lancashire","Outside London","90","80","25780","27570"
"In post","2021","Declared disabled","Lancashire","Lancaster and Wyre","Outside London","120","115","27690","26780"
"In post","2021","Declared disabled","Lancashire","Mid Lancashire","Outside London","770","680","26510","24920"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","Leicester","Outside London","305","275","25450","22350"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Outside London","200","185","28540","26850"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Outside London","95","80","25410","27570"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Outside London","140","125","25290","22920"
