"Status","Year","Disability","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","75","65","31170","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outside London","Heterosexual / straight","255","235","28030","25100"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outside London","LGBO","30","30","25750","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outside London","Undeclared","40","35","29730","25670"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","Heterosexual / straight","340","330","48620","44700"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","LGBO","75","75","46430","43890"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","Undeclared","65","65","46980","52200"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","165","155","34780","32960"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Outside London","Heterosexual / straight","55","50","32630","25100"
"In post","2021","Declared disabled","Companies House","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
