"Status","Year","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","London","AA/AO","1375","1255","25110","24900"
"In post","2021","Declared disabled","London","EO","2435","2275","30180","30600"
"In post","2021","Declared disabled","London","G6/G7","2015","1940","60360","59160"
"In post","2021","Declared disabled","London","SCS level","280","275","89570","80520"
"In post","2021","Declared disabled","London","SEO/HEO","2800","2715","38630","37780"
"In post","2021","Declared disabled","London","Unknown","300","290","34130","34100"
"In post","2021","Declared disabled","Outside London","AA/AO","14135","12340","21680","21010"
"In post","2021","Declared disabled","Outside London","EO","13135","11840","27350","27570"
"In post","2021","Declared disabled","Outside London","G6/G7","2505","2395","56650","54390"
"In post","2021","Declared disabled","Outside London","SCS level","135","135","87750","82430"
"In post","2021","Declared disabled","Outside London","SEO/HEO","8870","8380","35970","34310"
"In post","2021","Declared disabled","Outside London","Unknown","2155","2000","30950","30210"
"In post","2021","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Overseas","G6/G7","95","95","60260","58330"
"In post","2021","Declared disabled","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Overseas","SEO/HEO","90","90","36420","34770"
"In post","2021","Declared disabled","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","AA/AO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Unknown","EO","100","90","27990","27570"
"In post","2021","Declared disabled","Unknown","G6/G7","15","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SEO/HEO","50","50","35390","34290"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","AA/AO","8115","7495","25430","25110"
"In post","2021","Declared non-disabled","London","EO","14450","13645","29950","30130"
"In post","2021","Declared non-disabled","London","G6/G7","18825","18165","60660","59150"
"In post","2021","Declared non-disabled","London","SCS level","3230","3105","90190","81800"
"In post","2021","Declared non-disabled","London","SEO/HEO","21515","20985","38690","37890"
"In post","2021","Declared non-disabled","London","Unknown","1155","1110","34280","34100"
"In post","2021","Declared non-disabled","Outside London","AA/AO","80200","71705","22100","21010"
"In post","2021","Declared non-disabled","Outside London","EO","72360","66450","27150","27570"
"In post","2021","Declared non-disabled","Outside London","G6/G7","23365","22450","57460","54990"
"In post","2021","Declared non-disabled","Outside London","SCS level","1590","1545","90120","83230"
"In post","2021","Declared non-disabled","Outside London","SEO/HEO","63425","60455","36250","35000"
"In post","2021","Declared non-disabled","Outside London","Unknown","9090","8445","31680","30210"
"In post","2021","Declared non-disabled","Overseas","AA/AO","45","45","22470","22750"
"In post","2021","Declared non-disabled","Overseas","EO","210","210","27760","27130"
"In post","2021","Declared non-disabled","Overseas","G6/G7","880","875","59790","57790"
"In post","2021","Declared non-disabled","Overseas","SCS level","210","210","86750","78510"
"In post","2021","Declared non-disabled","Overseas","SEO/HEO","1010","1005","38740","34770"
"In post","2021","Declared non-disabled","Overseas","Unknown","215","210","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","AA/AO","175","155","22340","21010"
"In post","2021","Declared non-disabled","Unknown","EO","410","380","28090","27570"
"In post","2021","Declared non-disabled","Unknown","G6/G7","125","120","55660","54700"
