"Status","Year","Disability","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","G6/G7","90","85","62480","59920"
"In post","2021","Declared disabled","Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","SEO/HEO","105","100","38700","37990"
"In post","2021","Declared disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","AA/AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","EO","35","35","25630","25180"
"In post","2021","Declared disabled","Analysis","Outside London","G6/G7","65","65","53370","51640"
"In post","2021","Declared disabled","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","SEO/HEO","220","210","34880","36030"
"In post","2021","Declared disabled","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","G6/G7","30","30","62520","58430"
"In post","2021","Declared disabled","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","SEO/HEO","50","50","42330","40740"
"In post","2021","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","AA/AO","55","50","22280","21490"
"In post","2021","Declared disabled","Commercial","Outside London","EO","70","65","26520","26670"
"In post","2021","Declared disabled","Commercial","Outside London","G6/G7","50","50","59050","56440"
"In post","2021","Declared disabled","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","SEO/HEO","240","235","37780","37100"
"In post","2021","Declared disabled","Commercial","Outside London","Unknown","30","30","41930","39930"
"In post","2021","Declared disabled","Commercial","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","EO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","SEO/HEO","65","60","39920","39330"
"In post","2021","Declared disabled","Communications","Outside London","AA/AO","65","55","20880","20920"
"In post","2021","Declared disabled","Communications","Outside London","EO","175","165","25930","25560"
"In post","2021","Declared disabled","Communications","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","SEO/HEO","160","155","33850","31810"
"In post","2021","Declared disabled","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","AA/AO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","EO","45","45","30320","29570"
"In post","2021","Declared disabled","Counter Fraud","London","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","SEO/HEO","65","60","39100","38010"
"In post","2021","Declared disabled","Counter Fraud","Outside London","AA/AO","85","75","20880","21400"
"In post","2021","Declared disabled","Counter Fraud","Outside London","EO","225","205","26470","25560"
"In post","2021","Declared disabled","Counter Fraud","Outside London","G6/G7","60","55","55900","52580"
"In post","2021","Declared disabled","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","SEO/HEO","285","265","34410","32100"
"In post","2021","Declared disabled","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","AA/AO","40","35","25030","25630"
"In post","2021","Declared disabled","Debt","London","EO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Outside London","AA/AO","240","205","20670","20140"
"In post","2021","Declared disabled","Debt","Outside London","EO","70","60","26150","25560"
"In post","2021","Declared disabled","Debt","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Outside London","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","London","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","London","EO","45","45","29470","29500"
"In post","2021","Declared disabled","Digital, Data & Technology","London","G6/G7","110","110","59760","58600"
"In post","2021","Declared disabled","Digital, Data & Technology","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","London","SEO/HEO","100","100","38350","36800"
"In post","2021","Declared disabled","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","AA/AO","30","30","21460","21280"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","EO","210","195","27040","26670"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","G6/G7","125","120","55450","52580"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","SEO/HEO","410","390","36390","36050"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","G6/G7","65","65","60690","59160"
"In post","2021","Declared disabled","Finance","London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","SEO/HEO","80","80","39620","38630"
"In post","2021","Declared disabled","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Outside London","AA/AO","140","115","20980","21160"
"In post","2021","Declared disabled","Finance","Outside London","EO","130","120","25560","26120"
"In post","2021","Declared disabled","Finance","Outside London","G6/G7","90","85","56060","54090"
"In post","2021","Declared disabled","Finance","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Outside London","SEO/HEO","260","240","36130","35300"
"In post","2021","Declared disabled","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Outside London","AA/AO","85","75","21050","21050"
"In post","2021","Declared disabled","Grants Management","Outside London","EO","35","30","25790","25990"
"In post","2021","Declared disabled","Grants Management","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Outside London","SEO/HEO","30","30","32760","31900"
"In post","2021","Declared disabled","Human Resources","London","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","London","EO","55","55","28670","27850"
"In post","2021","Declared disabled","Human Resources","London","G6/G7","105","100","60610","59160"
"In post","2021","Declared disabled","Human Resources","London","SCS level","30","30","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","London","SEO/HEO","145","140","38660","37900"
"In post","2021","Declared disabled","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Outside London","AA/AO","180","165","21270","21090"
"In post","2021","Declared disabled","Human Resources","Outside London","EO","160","145","26340","26410"
"In post","2021","Declared disabled","Human Resources","Outside London","G6/G7","140","135","55130","52770"
"In post","2021","Declared disabled","Human Resources","Outside London","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Outside London","SEO/HEO","345","325","36140","34940"
"In post","2021","Declared disabled","Human Resources","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","SEO/HEO","55","55","39300","39560"
"In post","2021","Declared disabled","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","London","AA/AO","50","45","23810","23520"
"In post","2021","Declared disabled","Legal","London","EO","80","70","29160","29280"
