"Status","Year","Disability","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","HM Revenue and Customs","Female","30","30","42890","38630"
"In post","2021","Declared disabled","Analysis","HM Revenue and Customs","Male","30","30","43930","40370"
"In post","2021","Declared disabled","Analysis","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Treasury","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Treasury","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Defence","Female","35","30","35730","33750"
"In post","2021","Declared disabled","Analysis","Ministry of Defence","Male","35","35","40070","37320"
"In post","2021","Declared disabled","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Housing, Communities and Local Government","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Housing, Communities and Local Government","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Justice","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Justice","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office for Standards in Education","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office for Standards in Education","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","United Kingdom Statistics Authority","Female","90","85","36280","36030"
"In post","2021","Declared disabled","Analysis","United Kingdom Statistics Authority","Male","55","55","37430","35240"
"In post","2021","Declared disabled","Analysis","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cabinet Office","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cabinet Office","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Education","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Education","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Transport","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Transport","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department of Health and Social Care","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Revenue and Customs","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Defence","Female","130","125","35230","33300"
"In post","2021","Declared disabled","Commercial","Ministry of Defence","Male","105","105","38610","37450"
"In post","2021","Declared disabled","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Justice","Female","80","80","41260","41060"
"In post","2021","Declared disabled","Commercial","Ministry of Justice","Male","40","40","46000","44020"
"In post","2021","Declared disabled","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other Cabinet Office Agencies","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other Cabinet Office Agencies","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scottish Government","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","UK Export Finance","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cabinet Office","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cabinet Office","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Education","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Education","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Male","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Transport","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Transport","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department of Health and Social Care","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Revenue and Customs","Female","150","135","29320","25560"
"In post","2021","Declared disabled","Communications","HM Revenue and Customs","Male","125","120","28150","25560"
"In post","2021","Declared disabled","Communications","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Defence","Female","30","30","37370","33300"
"In post","2021","Declared disabled","Communications","Ministry of Defence","Male","50","50","27250","26670"
"In post","2021","Declared disabled","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Justice","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Justice","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","The National Archives","Female","[c]","[c]","[c]","[c]"
