"Status","Year","Age","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","AA/AO","Female","30","30","20800","20740"
"In post","2021","16-19","East Midlands (England)","AA/AO","Male","20","15","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","East of England","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","16-19","East of England","AA/AO","Male","25","25","[c]","[c]"
"In post","2021","16-19","East of England","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","East of England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA/AO","Female","45","40","23130","22930"
"In post","2021","16-19","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","16-19","London","EO","Female","40","40","26600","26460"
"In post","2021","16-19","London","EO","Male","45","40","26320","26250"
"In post","2021","16-19","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","AA/AO","Female","45","45","20520","20140"
"In post","2021","16-19","North East (England)","AA/AO","Male","40","35","20550","20140"
"In post","2021","16-19","North East (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","North West (England)","AA/AO","Female","75","70","20550","20880"
"In post","2021","16-19","North West (England)","AA/AO","Male","50","45","20610","20310"
"In post","2021","16-19","North West (England)","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","North West (England)","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Northern Ireland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","AA/AO","Female","90","90","20780","20850"
"In post","2021","16-19","Scotland","AA/AO","Male","70","65","20660","20140"
"In post","2021","16-19","Scotland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","South East (England)","AA/AO","Female","45","40","21810","21430"
"In post","2021","16-19","South East (England)","AA/AO","Male","50","50","22170","21430"
"In post","2021","16-19","South East (England)","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","South East (England)","Unknown","Female","10","10","[c]","[c]"
"In post","2021","16-19","South East (England)","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","South West (England)","AA/AO","Female","30","25","[c]","[c]"
"In post","2021","16-19","South West (England)","AA/AO","Male","35","35","18790","19130"
"In post","2021","16-19","South West (England)","EO","Female","35","35","19700","19040"
"In post","2021","16-19","South West (England)","EO","Male","70","70","18400","17780"
"In post","2021","16-19","South West (England)","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Unknown","Male","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","30","30","19060","16200"
"In post","2021","16-19","Wales","AA/AO","Female","60","55","20020","20140"
"In post","2021","16-19","Wales","AA/AO","Male","55","50","19190","19850"
"In post","2021","16-19","Wales","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Wales","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","AA/AO","Female","35","35","21060","21000"
"In post","2021","16-19","West Midlands (England)","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","AA/AO","Female","45","45","20570","20880"
"In post","2021","16-19","Yorkshire and The Humber","AA/AO","Male","40","40","20560","20140"
"In post","2021","16-19","Yorkshire and The Humber","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","EO","Male","5","5","[c]","[c]"
