"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","Female","50","45","25000","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","Male","45","40","25130","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Female","20","15","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Male","70","65","52130","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Female","115","105","32810","30660"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Male","140","140","32890","30220"
"In post","2021","Analysis","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","Female","30","25","63410","60920"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","Male","50","45","66800","65220"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","EO","Male","[c]","[c]","[c]","[c]"
