"Status","Year","Function_of_post","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","EO","10","10","28660","28230"
"In post","2021","Analysis","Chancellor's other departments","London","G6","85","75","92120","89720"
"In post","2021","Analysis","Chancellor's other departments","London","G7","15","15","58210","57250"
"In post","2021","Analysis","Chancellor's other departments","London","HEO","30","30","35840","36120"
"In post","2021","Analysis","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","SEO","25","25","47770","48610"
"In post","2021","Analysis","Chancellor's other departments","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","G6","30","30","77070","76440"
"In post","2021","Analysis","Competition and Markets Authority","London","G7","45","45","57960","56360"
"In post","2021","Analysis","Competition and Markets Authority","London","HEO","25","25","34370","34570"
"In post","2021","Analysis","Competition and Markets Authority","London","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","London","SEO","15","15","44590","43880"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
