"Status","Year","Organisation","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","EO","Heterosexual / straight","30","30","29030","29190"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","SEO/HEO","Heterosexual / straight","25","20","[c]","[c]"
