"Status","Year","Age","Disability","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hampshire and Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Highlands and Islands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Highlands and Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Highlands and Islands","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inner London - West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Leicestershire, Rutland and Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Merseyside","LGBO","[c]","[c]","[c]","[c]"
