"Status","Year","Disability","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","2675","2445","28460","27570"
"In post","2021","Declared disabled","East of England","Outside London","2580","2360","29890","27570"
"In post","2021","Declared disabled","London","London","9205","8750","40530","35070"
"In post","2021","Declared disabled","North East (England)","Outside London","3420","3000","26970","25560"
"In post","2021","Declared disabled","North West (England)","Outside London","7010","6300","28250","27190"
"In post","2021","Declared disabled","Northern Ireland","Outside London","325","300","27380","25560"
"In post","2021","Declared disabled","Overseas","Overseas","225","225","48160","45750"
"In post","2021","Declared disabled","Scotland","Outside London","4465","4065","30400","27570"
"In post","2021","Declared disabled","South East (England)","Outside London","4570","4200","30230","27570"
"In post","2021","Declared disabled","South West (England)","Outside London","4760","4400","32260","28200"
"In post","2021","Declared disabled","Unknown","Unknown","195","180","31390","27570"
"In post","2021","Declared disabled","Wales","Outside London","3545","3165","28670","26780"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","3600","3275","28900","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","3990","3590","30050","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","14255","13150","30080","27570"
"In post","2021","Declared non-disabled","East of England","Outside London","15505","14370","30630","27850"
"In post","2021","Declared non-disabled","London","London","67285","64515","43760","37640"
"In post","2021","Declared non-disabled","North East (England)","Outside London","20320","18255","28730","26120"
"In post","2021","Declared non-disabled","North West (England)","Outside London","40265","37075","29700","27570"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","2315","2180","28650","25560"
"In post","2021","Declared non-disabled","Overseas","Overseas","2570","2560","49430","47490"
"In post","2021","Declared non-disabled","Scotland","Outside London","26970","25020","32510","27570"
"In post","2021","Declared non-disabled","South East (England)","Outside London","27935","26020","31590","28480"
"In post","2021","Declared non-disabled","South West (England)","Outside London","31675","29745","34490","31600"
"In post","2021","Declared non-disabled","Unknown","Unknown","1015","950","32960","27570"
"In post","2021","Declared non-disabled","Wales","Outside London","24980","23015","31660","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","Outside London","20820","19240","30310","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Outside London","24990","22975","31510","27570"
"In post","2021","Undeclared","East Midlands (England)","Outside London","1495","1385","29520","27570"
"In post","2021","Undeclared","East of England","Outside London","1730","1610","31330","29840"
"In post","2021","Undeclared","London","London","6090","5855","42190","36300"
"In post","2021","Undeclared","North East (England)","Outside London","1765","1605","29270","27570"
"In post","2021","Undeclared","North West (England)","Outside London","3455","3185","29770","27570"
"In post","2021","Undeclared","Northern Ireland","Outside London","210","195","28570","26550"
"In post","2021","Undeclared","Overseas","Overseas","165","165","47110","41800"
"In post","2021","Undeclared","Scotland","Outside London","1435","1335","30900","27570"
"In post","2021","Undeclared","South East (England)","Outside London","3370","3145","32070","30890"
"In post","2021","Undeclared","South West (England)","Outside London","2820","2660","35140","32460"
"In post","2021","Undeclared","Unknown","Unknown","55","55","31670","27570"
"In post","2021","Undeclared","Wales","Outside London","1930","1770","30080","27570"
"In post","2021","Undeclared","West Midlands (England)","Outside London","1945","1810","30160","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","Outside London","2280","2115","31290","30200"
"In post","2021","Unknown","East Midlands (England)","Outside London","2940","2790","27990","25560"
"In post","2021","Unknown","East of England","Outside London","2780","2640","31960","28100"
"In post","2021","Unknown","London","London","19345","18885","43660","37640"
"In post","2021","Unknown","North East (England)","Outside London","5105","4640","26420","22350"
"In post","2021","Unknown","North West (England)","Outside London","8610","8155","29340","25560"
"In post","2021","Unknown","Northern Ireland","Outside London","965","915","26460","22330"
"In post","2021","Unknown","Overseas","Overseas","795","795","52670","51870"
"In post","2021","Unknown","Scotland","Outside London","14725","13805","32160","29190"
"In post","2021","Unknown","South East (England)","Outside London","5900","5505","31580","28130"
"In post","2021","Unknown","South West (England)","Outside London","5930","5655","34390","30620"
"In post","2021","Unknown","Unknown","Unknown","2465","2460","37220","32700"
"In post","2021","Unknown","Wales","Outside London","5635","5310","28860","25560"
"In post","2021","Unknown","West Midlands (England)","Outside London","4135","3945","30740","25790"
"In post","2021","Unknown","Yorkshire and The Humber","Outside London","5345","5130","30660","25790"
"Leaver CS","2021","Declared disabled","East Midlands (England)","Outside London","175","[c]","26920","26440"
"Leaver CS","2021","Declared disabled","East of England","Outside London","215","[c]","27950","26700"
"Leaver CS","2021","Declared disabled","London","London","445","[c]","38830","32000"
"Leaver CS","2021","Declared disabled","North East (England)","Outside London","215","[c]","25710","21010"
"Leaver CS","2021","Declared disabled","North West (England)","Outside London","320","[c]","28860","26890"
"Leaver CS","2021","Declared disabled","Northern Ireland","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Overseas","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Scotland","Outside London","225","[c]","28860","27150"
"Leaver CS","2021","Declared disabled","South East (England)","Outside London","300","[c]","27190","26070"
"Leaver CS","2021","Declared disabled","South West (England)","Outside London","295","[c]","28640","25970"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Wales","Outside London","245","[c]","26570","21590"
"Leaver CS","2021","Declared disabled","West Midlands (England)","Outside London","245","[c]","26200","26120"
