"Status","Year","Age","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East of England","East Anglia","20","15","22700","21430"
"In post","2021","16-19","Operational Delivery","East of England","Essex","10","10","21860","21430"
"In post","2021","16-19","Operational Delivery","London","Inner London - East","15","10","23790","22970"
"In post","2021","16-19","Operational Delivery","London","Inner London - West","10","10","23180","23230"
"In post","2021","16-19","Operational Delivery","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Outer London - West and North West","10","5","21100","22040"
"In post","2021","16-19","Operational Delivery","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North West (England)","Greater Manchester","15","15","19920","20140"
"In post","2021","16-19","Operational Delivery","North West (England)","Lancashire","10","10","20460","20600"
"In post","2021","16-19","Operational Delivery","North West (England)","Merseyside","20","20","21090","21430"
"In post","2021","16-19","Operational Delivery","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","Eastern Scotland","20","20","21640","20850"
"In post","2021","16-19","Operational Delivery","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","Southern Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","24060","24680"
"In post","2021","16-19","Operational Delivery","South East (England)","Hampshire and Isle of Wight","15","10","19940","18460"
"In post","2021","16-19","Operational Delivery","South East (England)","Kent","35","35","21820","21430"
"In post","2021","16-19","Operational Delivery","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","15","10","20320","19630"
"In post","2021","16-19","Operational Delivery","Wales","East Wales","30","30","20660","20140"
"In post","2021","16-19","Operational Delivery","Wales","West Wales and The Valleys","45","35","19640","18060"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","Shropshire and Staffordshire","10","10","21930","22850"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","West Midlands","15","15","20280","19930"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","South Yorkshire","10","10","20430","20600"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","West Yorkshire","15","15","20140","20140"
"In post","2021","16-19","Operational Research","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Other","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","25","25","18180","17780"
"In post","2021","16-19","Other","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Other","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","Inner London - West","25","25","25350","24540"
"In post","2021","16-19","Policy","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2021","16-19","Policy","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","Southern Scotland","10","10","17080","16780"
"In post","2021","16-19","Science and Engineering","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South West (England)","Devon","10","10","17720","16780"
"In post","2021","16-19","Science and Engineering","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","75","75","17620","17780"
"In post","2021","16-19","Science and Engineering","Wales","East Wales","15","15","16570","16780"
"In post","2021","16-19","Science and Engineering","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","North East (England)","Northumberland and Tyne and Wear","35","30","20300","20140"
"In post","2021","16-19","Tax","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","Lancashire","5","5","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","Merseyside","25","25","20140","20140"
"In post","2021","16-19","Tax","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Scotland","Eastern Scotland","20","15","20140","20140"
"In post","2021","16-19","Tax","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Wales","East Wales","15","15","20520","20140"
"In post","2021","16-19","Tax","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2021","16-19","Tax","Yorkshire and The Humber","West Yorkshire","20","20","20140","20140"
"In post","2021","16-19","Unknown","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Inner London - East","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","London","Inner London - West","10","10","26110","27500"
"In post","2021","16-19","Unknown","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North East (England)","Northumberland and Tyne and Wear","40","40","21440","21010"
"In post","2021","16-19","Unknown","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North West (England)","Greater Manchester","10","10","20840","21010"
"In post","2021","16-19","Unknown","North West (England)","Lancashire","20","20","21010","21010"
"In post","2021","16-19","Unknown","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland","Eastern Scotland","50","50","21270","21150"
"In post","2021","16-19","Unknown","Scotland","Highlands and Islands","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland","West Central Scotland","30","30","20920","21010"
"In post","2021","16-19","Unknown","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Wales","West Wales and The Valleys","15","15","22240","21010"
"In post","2021","16-19","Unknown","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","South Yorkshire","10","10","21560","21010"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","West Yorkshire","25","25","22160","21010"
"In post","2021","20-29","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","East Anglia","25","20","27350","27770"
"In post","2021","20-29","Commercial","London","Inner London - East","10","10","33640","33720"
"In post","2021","20-29","Commercial","London","Inner London - West","115","115","38970","37310"
"In post","2021","20-29","Commercial","London","Outer London - South","10","10","35300","33310"
"In post","2021","20-29","Commercial","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North East (England)","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","Greater Manchester","35","35","33050","31810"
"In post","2021","20-29","Commercial","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","Merseyside","35","35","28630","27770"
"In post","2021","20-29","Commercial","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","Eastern Scotland","25","20","25660","22430"
"In post","2021","20-29","Commercial","Scotland","Southern Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","West Central Scotland","15","15","28500","26670"
"In post","2021","20-29","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","25","25","28810","26590"
"In post","2021","20-29","Commercial","South East (England)","Hampshire and Isle of Wight","40","40","29010","26670"
"In post","2021","20-29","Commercial","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","South West (England)","Devon","15","15","33000","33510"
"In post","2021","20-29","Commercial","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","335","330","28840","28410"
"In post","2021","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","East Wales","15","15","29500","28160"
"In post","2021","20-29","Commercial","Wales","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","West Midlands","25","25","28950","29520"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","South Yorkshire","15","15","31180","29550"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","West Yorkshire","35","35","30220","28970"
"In post","2021","20-29","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","24160","21590"
"In post","2021","20-29","Communications","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2021","20-29","Communications","East of England","East Anglia","10","10","[c]","[c]"
"In post","2021","20-29","Communications","London","Inner London - East","50","50","34570","33610"
"In post","2021","20-29","Communications","London","Inner London - West","535","530","36930","36160"
"In post","2021","20-29","Communications","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","20-29","Communications","North East (England)","Northumberland and Tyne and Wear","10","10","[c]","[c]"
"In post","2021","20-29","Communications","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","20-29","Communications","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","North West (England)","Greater Manchester","15","15","29440","29360"
"In post","2021","20-29","Communications","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","27620","26630"
"In post","2021","20-29","Communications","South East (England)","Hampshire and Isle of Wight","20","20","27950","26670"
"In post","2021","20-29","Communications","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","20-29","Communications","South West (England)","Devon","5","5","[c]","[c]"
"In post","2021","20-29","Communications","South West (England)","Dorset and Somerset","5","5","[c]","[c]"
"In post","2021","20-29","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","25","25","27660","26450"
"In post","2021","20-29","Communications","Wales","East Wales","40","40","29740","29540"
"In post","2021","20-29","Communications","Wales","West Wales and The Valleys","15","15","26960","26350"
"In post","2021","20-29","Communications","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","West Midlands (England)","West Midlands","10","10","28330","26450"
"In post","2021","20-29","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Yorkshire and The Humber","South Yorkshire","10","10","27330","25000"
"In post","2021","20-29","Communications","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","Inner London - West","5","5","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","Inner London - West","55","55","32460","33100"
"In post","2021","20-29","Counter Fraud","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","West Midlands (England)","West Midlands","5","5","[c]","[c]"
