"Status","Year","Age","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","Devon","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","Inner London - West","25","25","26130","26250"
"In post","2021","16-19","Economics","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","West Central Scotland","10","5","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","19630","19040"
"In post","2021","16-19","Finance","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Derbyshire and Nottinghamshire","15","15","21250","20880"
