"Status","Year","Disability","Ethnicity","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Black","North West (England)","Greater Manchester","45","45","28500","27570"
"In post","2021","Declared disabled","Black","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","North West (England)","Merseyside","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","South East (England)","Hampshire and Isle of Wight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","South East (England)","Kent","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","South East (England)","Surrey, East and West Sussex","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","50","45","31470","28650"
"In post","2021","Declared disabled","Black","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales","East Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","West Midlands (England)","Shropshire and Staffordshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","West Midlands (England)","West Midlands","135","125","28210","27570"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","North Yorkshire","5","5","[c]","[c]"
