"Status","Year","Disability","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","1550","1420","29570","27570"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","740","665","26250","24800"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Outside London","390","360","28200","27570"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Outside London","510","475","31040","29290"
"In post","2021","Declared disabled","East of England","East Anglia","Outside London","1360","1245","29280","27570"
"In post","2021","Declared disabled","East of England","Essex","Outside London","710","640","30210","29290"
"In post","2021","Declared disabled","London","Inner London - East","London","1570","1480","37760","31880"
"In post","2021","Declared disabled","London","Inner London - West","London","5180","5010","44730","39800"
"In post","2021","Declared disabled","London","Outer London - East and North East","London","490","450","30220","31060"
"In post","2021","Declared disabled","London","Outer London - South","London","1080","1000","36060","31170"
"In post","2021","Declared disabled","London","Outer London - West and North West","London","880","805","32000","31060"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","Outside London","2325","2035","26830","25560"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","Outside London","1095","970","27270","27130"
"In post","2021","Declared disabled","North West (England)","Cheshire","Outside London","405","365","29170","27570"
"In post","2021","Declared disabled","North West (England)","Cumbria","Outside London","240","215","27770","25790"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","Outside London","2140","1965","29600","27570"
"In post","2021","Declared disabled","North West (England)","Lancashire","Outside London","1945","1730","27100","27130"
"In post","2021","Declared disabled","North West (England)","Merseyside","Outside London","2280","2020","27850","25560"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","Outside London","325","300","27380","25560"
"In post","2021","Declared disabled","Overseas","Overseas","Overseas","225","225","48160","45750"
"In post","2021","Declared disabled","Scotland","Eastern Scotland","Outside London","1920","1785","32610","27570"
"In post","2021","Declared disabled","Scotland","Highlands and Islands","Outside London","165","155","28210","27570"
"In post","2021","Declared disabled","Scotland","North Eastern Scotland","Outside London","130","125","33610","27570"
