"Status","Year","Age","Function_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Central Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Monmouthshire and Newport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South Hampshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Westminster","EO","15","15","26930","27680"
"In post","2021","16-19","Commercial","Liverpool","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Peterborough","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","West Surrey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Wiltshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester South West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester South West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tower Hamlets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tyneside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Belfast","AA/AO","[c]","[c]","[c]","[c]"
