"Status","Year","Function_of_post","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","10","10","27880","27850"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","15","15","35530","36000"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","20","15","42840","43000"
"In post","2021","Analysis","Bedford","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","HEO","15","15","38020","34530"
"In post","2021","Analysis","Birmingham","Outside London","SEO","10","10","45980","39660"
"In post","2021","Analysis","Bradford","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","EO","25","25","26090","25880"
"In post","2021","Analysis","Bristol, City of","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","G7","25","25","56350","59810"
"In post","2021","Analysis","Bristol, City of","Outside London","HEO","55","50","32120","32010"
"In post","2021","Analysis","Bristol, City of","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","SEO","45","40","40600","39850"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","London","EO","15","15","29940","28270"
"In post","2021","Analysis","Camden and City of London","London","G6","100","90","92250","89720"
"In post","2021","Analysis","Camden and City of London","London","G7","30","30","61460","59160"
"In post","2021","Analysis","Camden and City of London","London","HEO","40","40","36940","36160"
"In post","2021","Analysis","Camden and City of London","London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","London","SEO","30","30","47130","47650"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Outside London","G7","160","150","49130","46130"
"In post","2021","Analysis","Central Hampshire","Outside London","HEO","70","70","28810","28650"
"In post","2021","Analysis","Central Hampshire","Outside London","SEO","105","105","37470","37320"
"In post","2021","Analysis","Central Valleys","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Outside London","G7","5","5","[c]","[c]"
