"Status","Year","Disability","Function_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bristol, City of","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bristol, City of","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Buckinghamshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Buckinghamshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Buckinghamshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cambridgeshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Camden and City of London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Camden and City of London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Central Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Central Hampshire","EO","[c]","[c]","[c]","[c]"
