"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Birmingham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Central Hampshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Central Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Sussex CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Suffolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Suffolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Wiltshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Wiltshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Wiltshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","West Sussex (North East)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","West Sussex (North East)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Westminster","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","Heterosexual / straight","20","20","[c]","[c]"
