"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","Female","15","15","[c]","[c]"
"In post","2021","16-19","Analysis","EO","Male","15","15","[c]","[c]"
"In post","2021","16-19","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Communications","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","AA/AO","Female","30","30","[c]","[c]"
"In post","2021","16-19","Debt","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","16-19","Debt","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Finance","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Finance","EO","Female","15","15","[c]","[c]"
"In post","2021","16-19","Finance","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Grants Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","Legal","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Legal","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","AA/AO","Female","255","235","20740","20140"
"In post","2021","16-19","No function","AA/AO","Male","180","170","20420","20140"
"In post","2021","16-19","No function","EO","Female","30","30","[c]","[c]"
"In post","2021","16-19","No function","EO","Male","25","25","[c]","[c]"
"In post","2021","16-19","No function","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","16-19","Project Delivery","EO","Female","20","20","[c]","[c]"
"In post","2021","16-19","Project Delivery","EO","Male","75","75","18160","17780"
"In post","2021","16-19","Project Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","Male","15","15","[c]","[c]"
"In post","2021","16-19","Property","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Property","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Property","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Security","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","16-19","Security","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","Female","180","175","21290","21010"
"In post","2021","16-19","Unknown","AA/AO","Male","130","125","21210","21010"
"In post","2021","16-19","Unknown","EO","Female","35","35","27700","27570"
"In post","2021","16-19","Unknown","EO","Male","20","20","[c]","[c]"
