"Status","Year","Profession_of_post","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","155","150","39160","36890"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","15","10","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","55","55","45420","43130"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Devon","Outside London","Heterosexual / straight","35","30","42480","39100"
"In post","2021","Commercial","Devon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Outside London","Unknown","185","180","42930","40040"
"In post","2021","Commercial","Dorset and Somerset","Outside London","Heterosexual / straight","50","50","42850","42510"
"In post","2021","Commercial","Dorset and Somerset","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Outside London","Unknown","10","5","[c]","[c]"
"In post","2021","Commercial","East Anglia","Outside London","Heterosexual / straight","155","150","38520","35570"
"In post","2021","Commercial","East Anglia","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","East Anglia","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","East Anglia","Outside London","Unknown","35","35","37700","35900"
"In post","2021","Commercial","East Wales","Outside London","Heterosexual / straight","110","110","37110","34800"
"In post","2021","Commercial","East Wales","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","Commercial","East Wales","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Outside London","Heterosexual / straight","40","40","39190","36780"
"In post","2021","Commercial","Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Outside London","Unknown","40","40","29150","25870"
"In post","2021","Commercial","Essex","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Heterosexual / straight","1100","1050","38880","35430"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","LGBO","45","45","33930","32710"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Undeclared","165","155","41290","38240"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","125","120","37440","34800"
"In post","2021","Commercial","Greater Manchester","Outside London","Heterosexual / straight","165","155","41140","37100"
"In post","2021","Commercial","Greater Manchester","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Outside London","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","Heterosexual / straight","175","170","35850","34780"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","London","Heterosexual / straight","55","55","45620","40770"
"In post","2021","Commercial","Inner London - East","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Inner London - East","London","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Inner London - West","London","Heterosexual / straight","370","360","49910","44520"
"In post","2021","Commercial","Inner London - West","London","LGBO","25","25","[c]","[c]"
"In post","2021","Commercial","Inner London - West","London","Undeclared","35","30","51270","44120"
"In post","2021","Commercial","Inner London - West","London","Unknown","145","145","51280","43680"
"In post","2021","Commercial","Kent","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Kent","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Commercial","Lancashire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","Heterosexual / straight","35","30","40190","36710"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","Outside London","Heterosexual / straight","160","155","37260","34800"
"In post","2021","Commercial","Merseyside","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Merseyside","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Merseyside","Outside London","Unknown","55","55","32220","30460"
"In post","2021","Commercial","North Eastern Scotland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Outside London","Heterosexual / straight","50","50","41080","38180"
"In post","2021","Commercial","North Yorkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","London","Heterosexual / straight","110","105","45320","44250"
"In post","2021","Commercial","Outer London - South","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Commercial","Outer London - South","London","Unknown","20","15","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","London","Heterosexual / straight","45","40","40450","34480"
"In post","2021","Commercial","Outer London - West and North West","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","London","Unknown","25","20","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Heterosexual / straight","30","30","49730","42820"
"In post","2021","Commercial","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","Outside London","Heterosexual / straight","70","65","38920","34800"
"In post","2021","Commercial","Shropshire and Staffordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","Outside London","Heterosexual / straight","80","80","39080","37100"
"In post","2021","Commercial","South Yorkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","Outside London","Heterosexual / straight","45","45","40640","39630"
"In post","2021","Commercial","Southern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Outside London","Heterosexual / straight","35","30","45470","41310"
"In post","2021","Commercial","Surrey, East and West Sussex","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","Outside London","Heterosexual / straight","75","70","43400","38980"
"In post","2021","Commercial","Tees Valley and Durham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","Outside London","Heterosexual / straight","80","80","36160","34610"
"In post","2021","Commercial","West Central Scotland","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","West Midlands","Outside London","Heterosexual / straight","100","95","40040","38070"
