"Status","Year","Age","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","EO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
