"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","Outside London","35","35","36020","33350"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Southend-on-Sea","Outside London","25","25","43620","38630"
"In post","2021","Analysis","East of England","Suffolk","Outside London","350","330","34350","30220"
"In post","2021","Analysis","London","Camden and City of London","London","230","215","67630","60780"
"In post","2021","Analysis","London","Croydon","London","35","35","49560","41760"
"In post","2021","Analysis","London","Hackney and Newham","London","10","10","48180","41760"
"In post","2021","Analysis","London","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Tower Hamlets","London","680","655","50780","46850"
"In post","2021","Analysis","London","Westminster","London","2495","2430","46680","42980"
"In post","2021","Analysis","North East (England)","Darlington","Outside London","30","30","43530","42580"
"In post","2021","Analysis","North East (England)","Durham CC","Outside London","[c]","[c]","[c]","[c]"
