"Status","Year","Age","Organisation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","London","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Operational Delivery","Wales","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Science and Engineering","Wales","15","15","16570","16780"
"In post","2021","16-19","Defence Electronics and Components Agency","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Finance","South West (England)","20","20","19170","19040"
"In post","2021","16-19","Defence Equipment and Support","Other","South West (England)","20","20","17930","17780"
"In post","2021","16-19","Defence Equipment and Support","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Science and Engineering","Scotland","10","10","17080","16780"
"In post","2021","16-19","Defence Equipment and Support","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Science and Engineering","South West (England)","50","50","17910","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Science and Engineering","South West (England)","15","15","17150","16990"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Policy","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","East Midlands (England)","15","15","22520","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","East of England","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","London","10","10","29280","31060"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","North East (England)","35","35","21540","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","North West (England)","35","35","21010","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Scotland","15","15","21010","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","South East (England)","15","15","24850","24180"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Wales","20","20","22830","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","West Midlands (England)","15","15","23530","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Yorkshire and The Humber","30","30","22320","21010"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Wales","35","25","19020","18060"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
