"Status","Year","Age","Function_of_post","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Digital, Data and Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Digital, Data and Technology","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Westminster","15","15","26930","27680"
"In post","2021","16-19","Analysis","Operational Delivery","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Delivery","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
