"Status","Year","Disability","Function_of_post","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Debt Management Office","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Debt Management Office","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Debt Management Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Debt Management Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Debt Management Office","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Electronics and Components Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
