"Status","Year","Age","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Inner London - West","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Human Resources","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","Inner London - West","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","East Wales","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","West Midlands","[c]","[c]","[c]","[c]"
