"Status","Year","Age","Ethnicity","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","AO","20","20","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","EO","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","AO","5","5","[c]","[c]"
"In post","2021","16-19","Black","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Debt","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Debt","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","No function","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","No function","AO","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","AO","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Debt","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","No function","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","No function","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","No function","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Analysis","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Debt","AO","35","35","20140","20140"
"In post","2021","16-19","Unknown","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","AO","10","5","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Legal","AO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","No function","AA","40","35","18650","18060"
"In post","2021","16-19","Unknown","No function","AO","160","155","21020","20140"
"In post","2021","16-19","Unknown","No function","EO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","EO","45","45","17500","16780"
"In post","2021","16-19","Unknown","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Property","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Security","AA","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Security","AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","AA","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","AO","50","45","21500","21430"
"In post","2021","16-19","Unknown","Unknown","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","White","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Analysis","EO","15","15","[c]","[c]"
"In post","2021","16-19","White","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Debt","AO","15","15","[c]","[c]"
"In post","2021","16-19","White","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Digital, Data & Technology","AA","5","5","[c]","[c]"
"In post","2021","16-19","White","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Finance","AO","5","5","[c]","[c]"
"In post","2021","16-19","White","Finance","EO","25","25","[c]","[c]"
"In post","2021","16-19","White","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Human Resources","AA","5","5","[c]","[c]"
"In post","2021","16-19","White","Human Resources","AO","10","10","[c]","[c]"
"In post","2021","16-19","White","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Legal","AO","20","20","[c]","[c]"
"In post","2021","16-19","White","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","No function","AA","50","50","18840","18850"
"In post","2021","16-19","White","No function","AO","135","130","21380","20760"
"In post","2021","16-19","White","No function","EO","35","35","24390","24300"
"In post","2021","16-19","White","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Project Delivery","AA","15","15","[c]","[c]"
"In post","2021","16-19","White","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Project Delivery","EO","50","50","19170","17780"
"In post","2021","16-19","White","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Property","AA","5","5","[c]","[c]"
"In post","2021","16-19","White","Property","AO","5","5","[c]","[c]"
"In post","2021","16-19","White","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Property","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","White","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","AA","45","45","20720","21150"
"In post","2021","16-19","White","Unknown","AO","170","165","21280","21010"
"In post","2021","16-19","White","Unknown","EO","35","35","27460","27570"
"In post","2021","16-19","White","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Analysis","AO","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Analysis","EO","30","30","27680","27680"
"In post","2021","20-29","Asian","Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Analysis","G7","20","20","[c]","[c]"
"In post","2021","20-29","Asian","Analysis","HEO","95","95","34460","33880"
"In post","2021","20-29","Asian","Analysis","SEO","30","30","[c]","[c]"
"In post","2021","20-29","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","AO","5","5","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","EO","15","15","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","HEO","20","20","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Communications","EO","85","85","26060","25560"
"In post","2021","20-29","Asian","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Communications","HEO","55","55","33020","31810"
"In post","2021","20-29","Asian","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Counter Fraud","AO","5","5","[c]","[c]"
"In post","2021","20-29","Asian","Counter Fraud","EO","50","50","27090","25560"
