"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","AO","20","20","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","EO","40","35","26900","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","AO","80","70","24960","25110"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","EO","125","120","30000","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","G6","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","G7","15","15","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","HEO","60","55","35790","36240"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","SEO","35","35","43340","42090"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","AO","30","25","21160","21010"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","EO","65","60","26810","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AA","5","5","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AO","80","70","24250","23520"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","135","125","29420","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G7","10","10","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","HEO","35","35","35020","35010"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO","15","15","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","15","10","[c]","[c]"
