"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Inner London - West","London","5","5","[c]","[c]"
"In post","2021","16-19","Legal","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Bedfordshire and Hertfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","24060","24680"
"In post","2021","16-19","No function","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Derbyshire and Nottinghamshire","Outside London","15","15","21100","20600"
"In post","2021","16-19","No function","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Anglia","Outside London","15","15","23380","22850"
"In post","2021","16-19","No function","East Wales","Outside London","40","35","20370","20140"
"In post","2021","16-19","No function","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Eastern Scotland","Outside London","20","20","20890","20760"
"In post","2021","16-19","No function","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","35","30","18990","18940"
"In post","2021","16-19","No function","Greater Manchester","Outside London","25","20","20910","20140"
"In post","2021","16-19","No function","Hampshire and Isle of Wight","Outside London","10","10","19650","18460"
"In post","2021","16-19","No function","Herefordshire, Worcestershire and Warwickshire","Outside London","5","5","[c]","[c]"
