"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","EO","10","10","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","SEO/HEO","25","20","38080","39850"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
