"Status","Year","Age","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Economics","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Economics","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","Tax","5","5","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","Tax","45","40","20140","20140"
"In post","2021","16-19","Debt","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","Finance","10","5","20140","20140"
"In post","2021","16-19","Finance","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence","Finance","20","20","19740","19040"
"In post","2021","16-19","Finance","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
