"Status","Year","Organisation","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","AA","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","EO","45","40","28890","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","HEO","20","20","34960","35110"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","SEO","10","10","46490","46600"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","G7","20","20","59220","58850"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","HEO","75","70","37750","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","SEO","55","55","46490","47250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","AO","40","35","20330","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","EO","320","300","24690","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","G7","25","25","53370","51630"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","HEO","360","330","32420","31040"
