"Status","Year","Function_of_post","Parent_department","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Flintshire and Wrexham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Flintshire and Wrexham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Liverpool","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Liverpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Tyneside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Tyneside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","Heterosexual / straight","130","120","71900","65730"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Sefton","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Sefton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","Heterosexual / straight","95","95","59810","56360"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","LGBO","[c]","[c]","[c]","[c]"
