"Status","Year","Disability","Function_of_post","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Manchester","[c]","[c]","[c]","[c]"
