"Status","Year","Function_of_post","Organisation","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - West","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Dorset and Somerset","115","110","33040","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East Anglia","350","330","34300","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","North Yorkshire","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","Inner London - West","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","Merseyside","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","Inner London - East","130","125","60780","56360"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","HM Treasury","Inner London - West","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","110","110","37730","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Hampshire and Isle of Wight","340","325","41040","38060"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Inner London - West","290","285","43330","36220"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Inner London - West","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Derbyshire and Nottinghamshire","10","10","42290","42500"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","20","15","41410","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Greater Manchester","40","40","37840","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Inner London - West","175","165","46830","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","South Yorkshire","120","115","44020","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Tees Valley and Durham","30","30","43530","42580"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","West Midlands","10","10","41650","40130"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Inner London - West","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","North Yorkshire","45","45","35100","31310"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Inner London - West","230","230","42740","38540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Inner London - West","380","370","46950","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Surrey, East and West Sussex","10","10","45120","45620"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","West Yorkshire","[c]","[c]","[c]","[c]"
