"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G7","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G6","Female","35","30","83600","78140"
"In post","2021","Analysis","Chancellor's other departments","G6","Male","55","50","97860","89720"
"In post","2021","Analysis","Chancellor's other departments","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","HEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G7","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G7","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","HEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","HEO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G7","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G7","Male","45","40","58100","57620"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Female","50","50","35020","33930"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Male","105","105","36080","34320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G7","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G7","Male","30","30","61090","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","HEO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","HEO","Male","45","45","42100","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Female","15","15","[c]","[c]"
